cocktail,measure,ingredient,unit
Weep-No-More Cocktail,0.75, Dubonnet,Fl Oz
Jungle Juice,1.0, Light Rum,Fl Oz
Wedding Belle Cocktail,1.5, cherry-flavored brandy,Fl Oz
Waterloo,3.0, Orange Juice,Fl Oz
Waterbury Cocktail,0.25, Juice of a Lemon,Fl Oz
Washington Cocktail,0.75, Brandy,Fl Oz
The Jamaican Ten Speed,0.75, Melon liqueur,Fl Oz
Twin Six Cocktail,0.5, Sweet Vermouth,Fl Oz
Jackie-O,0.5, each Citrus-flavored vodka and orange-flavored vodka,Fl Oz
Tropical Heart,1, Hot Apple Cider,garnish
Trois Rivieres,1.0, Dubonnet,Fl Oz
Tovarich Cocktail,0.75, Kummel,Fl Oz
Italian Screwdriver,1.5, Citrus-flavored vodka,Fl Oz
T.N.T. Cocktail No. 2,1, Tonic,garnish
T.N.T. Cocktail No. 1,1.5, Anis,Fl Oz
Ibiza,0.5, Campari,Fl Oz
Thunder,1.0, Egg Yolk,Fl Oz
Huntsman Cocktail,0.5, Jamaica Rum,Fl Oz
Tequila Fizz,0.75, Grenadine,Fl Oz
Humpty Dumpty,1.0, Orange juice,Fl Oz
Tequila Cocktail,0.5, Juice of a Lemon,Fl Oz
Temptation Cocktail,0.5, Triple Sec,Fl Oz
Tchoupitolas Street Guzzle,1, Ginger beer,garnish
Tahitian Tea,0.5, Light Rum,Fl Oz
Limey ,1.0, Lime Liqueur,Fl Oz
Headless Horseman,3.0, Angostura Bitters,Fl Oz
Love Cocktail,1.0, Egg White,Fl Oz
Los Angeles Cocktail,1.0, Powdered Sugar,Fl Oz
Long Island Tea,0.5, Gin,Fl Oz
Harvey Wallbanger,4.0, Fresh orange juice,Fl Oz
Lime Giant,1, Lemon-lime soda,garnish
Lil Naue,0.5, Port,Fl Oz
Harrington,0.25, Triple Sec,Fl Oz
El Profesor,0.5, Punt e Mes,Fl Oz
Leap Year Cocktail,0.5, Orange Flavored Gin,Fl Oz
Lasky Cocktail,0.75, Swedish Punch,Fl Oz
Lady Love Fizz,0.5, Juice of a Lemon,Fl Oz
Handball Cooler,1, Soda water,garnish
Hyatt's Jamaican Banana,0.5, White creme de cacao,Fl Oz
H.P.W. Cocktail,1.5, Sweet Vermouth,Fl Oz
Hot Shot Margarita,1.0, Hot Shot Tropical Fruit Liqueur,Fl Oz
The Groupie,0.5, Superfine sugar,Fl Oz
Hot Brandy Flip,1.0, Powdered Sugar,Fl Oz
Grape Nehi,1.0, Raspberry-flavored liqueur,Fl Oz
Hole-in-One Cocktai,0.75, Vermouth,Fl Oz
Grapefruit Gimlet Royale,1.0, Fresh grapefruit juice,Fl Oz
Hair Raiser,0.5, Rock and Rye,Fl Oz
Godmother,0.75, Amaretto,Fl Oz
Green Opal,0.5, Anisette,Fl Oz
Green Hornet (Dry),1, Lemon-lime soda,garnish
Green Fizz,1.0, Egg White,Fl Oz
Godchild,1.0, Amaretto,Fl Oz
Grape Vodka Froth,1.0, Grape Juice,Fl Oz
Grapefruit Nog,0.5, Grapefruit Juice,Fl Oz
Golden Slipper,2.0, Apricot-Flavored Brandy,Fl Oz
Golden Freindship,1, Sweet Vermouth,garnish
Golden Frappe,2.0, Lemon Juice,Fl Oz
Glass Tower,1.0, Peach schnapps,Fl Oz
Golden Fizz,0.5, Powdered Sugar,Fl Oz
Gloom Lifter,0.5, Brandy,Fl Oz
Glogg,2.0, Dried Orange Peel,Fl Oz
Georgia Peach,0.5, Peach schnapps,Fl Oz
Georgia Mule,1.5, Vodka,Fl Oz
Gentle Ben,1.0, Gin,Fl Oz
East India Cocktail No. 1,0.5, Jamaica Rum,Fl Oz
General Harrison's Eggnog,1.0, Powdered Sugar,Fl Oz
Gables Collins,1.0, Creme de noyaux,Fl Oz
Frozen Brandy and Rum,1.0, Light Rum,Fl Oz
Frozen Apple,1.0, Lime Juice,Fl Oz
Frisky Witch,1.0, Sambuca,Fl Oz
Froth Blower Cocktail,2.0, Gin,Fl Oz
French Martini,0.75, Black raspberry liqueur,Fl Oz
Flatiron Martini,1.5, Orange-flavored vodka,Fl Oz
Favourite Cocktail,0.75, Dry Vermouth,Fl Oz
Electric Jam,0.5, Blue curacao,Fl Oz
Fairy Belle Cocktail,1.0, Grenadine,Fl Oz
Duke Cocktail,1.0, Orange Juice,Fl Oz
Dreamy Dorini Smoking Martini,0.5," Smoky Scotch, such as Laphroaig",Fl Oz
Dubonnet Highball,1,ginger ale,garnish
Dubonnet Fizz,0.25, Juice of a Lemon,Fl Oz
Dubonnet Cocktail,0.75, Gin,Fl Oz
Doctor Cook,1.0, Lemon Juice,Fl Oz
Desert Sunrise,1.5, Fresh orange juice,Fl Oz
Dillatini,0.75, Dry Vermouth,Fl Oz
Devil's Cocktail,1.5, Port,Fl Oz
Derby Fizz,1.0, Powdered Sugar,Fl Oz
Cubeltini,5.0,Fresh mint leaves,garnish
Crocodile Cooler,1.0, Melon liqueur,Fl Oz
Cosmopolitan,0.5, Fresh Lime Juice,Fl Oz
Dream Cocktail,0.75, Triple Sec,Fl Oz
Jean Lafitte Cocktail,0.5, Triple Sec,Fl Oz
Japanese Fizz,1.0, Powdered Sugar,Fl Oz
Citronella Cooler,1.0, Fresh Lime Juice,Fl Oz
North Pole Cocktail,0.5, Lemon Juice,Fl Oz
The Cinquecento,0.5, Benedictine,Fl Oz
New Orleans Gin Fizz,0.5, Juice of a Lime,Fl Oz
Napoleon,0.5, Curacao,Fl Oz
Zombie,1.0, 151-Proof Rum,Fl Oz
Kiss the Boys Goodbye,0.75, Brandy,Fl Oz
X.Y.Z. Cocktail,0.5, Triple Sec,Fl Oz
K.G.B. Cocktail,1.5, Gin,Fl Oz
Eye-Opener,0.5, Powdered Sugar,Fl Oz
Wiki Waki Woo,0.5, 151-Proof Rum,Fl Oz
Elk's Own Cocktail,1.5, Blended whiskey,Fl Oz
Eggnog Supreme,1.0, Sugar,Fl Oz
Egg Sour,1.0, Powdered Sugar,Fl Oz
White Lion Cocktail,1.0, Fresh lemon juice,Fl Oz
White Lily Cocktail,0.75, Triple Sec,Fl Oz
Ice Cream Flip,1.0, Maraschino,Fl Oz
Outrigger,1.0, Lime Vodka,Fl Oz
Opera Cocktail,0.5, Dubonnet,Fl Oz
Virginia Dare,2.0, Dark rum,Fl Oz
Opening Cocktail,0.5, Sweet Vermouth,Fl Oz
Queen Bee,1.0, Coffee-flavored brandy,Fl Oz
Van Vleet,1.0, Maple Syrup,Fl Oz
Zaza Cocktail,0.75, Dubonnet,Fl Oz
The Vacation Cocktail,0.75, Fresh Lime Juice,Fl Oz
Dolores,1.0, Cherry liqueur,Fl Oz
Vesuvio,0.5, Juice of a Lemon,Fl Oz
Urban Anxiety,1.0, Sweet Vermouth,Fl Oz
Virgin,0.5, White creme de menthe,Fl Oz
Tropica Cocktail,3.0, Pineapple Juice,Fl Oz
Vermouth Cassis,1.5, Dry Vermouth,Fl Oz
Verboten,1.0, Forbidden Fruit,Fl Oz
Velvet Hammer No. 2,1.0, White creme de cacao,Fl Oz
Velvet Hammer No. 1,1.0, Creme de Cacao,Fl Oz
Ulanda Cocktail,0.75, Triple Sec,Fl Oz
Torridora Cocktail,0.5, Coffee-flavored brandy,Fl Oz
Boston Sour,1.0, Powdered Sugar,Fl Oz
Three Miller Cocktail,2.0, Dark rum,Fl Oz
Bird-of-Paradise Fizz,1.0, Powdered Sugar,Fl Oz
Biffy Cocktail,1.0, Swedish Punch,Fl Oz
Between-The-Sheets Cocktail,0.5, Brandy,Fl Oz
Third-Rail Cocktail,0.75, Apple Brandy,Fl Oz
Bentley,1.0, Dubonnet,Fl Oz
Tahiti Club,0.5, Fresh lemon juice,Fl Oz
Barton Special,0.25, Scotch,Fl Oz
Barnaby's Buffalo Blizzard,0.75, Vodka,Fl Oz
Susie Taylor,0.5, Fresh Lime Juice,Fl Oz
Baltimore Bracer,1.0, Brandy,Fl Oz
Bachelor's Bait Cocktail,1.0, Egg White,Fl Oz
Bushranger,1.0, Dubonnet,Fl Oz
Sunset at Gowanus,0.75, Fresh Lime Juice,Fl Oz
Bulldog Highballl,2.0, Gin,Fl Oz
Bucks Fizz (Mimosa),1, Chilled Champagne,garnish
Buckjones,1.0, Sweet Sherry,Fl Oz
Stormy Colada,2.0, Pineapple Juice,Fl Oz
Bronx SIlver Cocktail,1.0, Egg White,Fl Oz
Bronx Golden Cocktail,0.5, Sweet Vermouth,Fl Oz
Stone Wall,0.75, Demerara Syrup,Fl Oz
Depth Bomb,1.0, Brandy,Fl Oz
Stone Cocktail,0.5, Light Rum,Fl Oz
Almeria,1.0, Coffee-flavored liqueur,Fl Oz
Aunt Jemima,0.5, White creme de cacao,Fl Oz
Spanish Town Cocktail,0.5, Triple Sec,Fl Oz
Apricot Lady,1.0, Apricot-Flavored Brandy,Fl Oz
Apricot Anise Collins,0.5, Apricot-Flavored Brandy,Fl Oz
Apple Rum Rickey,0.75, Light Rum,Fl Oz
Sloppy Joe's Cocktail No. 1,0.75, Dry Vermouth,Fl Oz
Applejack Punch,4.0, Grenadine,Fl Oz
Brandy Flip,1.0, Powdered Sugar,Fl Oz
Sir Walter Cocktail,0.75, Brandy,Fl Oz
Saxon Cocktail,0.5, Fresh Lime Juice,Fl Oz
Boston Bullet,0.75, Dry Vermouth,Fl Oz
Sargasso,0.75, Dry Sherry,Fl Oz
Santiago Cocktail,1.0, Fresh Lime Juice,Fl Oz
Black Velvet,5.0, Chilled Champagne,Fl Oz
Saint Lucy Bracer,0.5, Butterscotch schnapps,Fl Oz
Applecar,1.0, Triple Sec,Fl Oz
Apple Blow Fizz,0.5, Juice of a Lemon,Fl Oz
Antoine Special,1.5, Dry Vermouth,Fl Oz
Ante,0.5, Triple Sec,Fl Oz
S & V,0.5, Creole Shrubb (rum-based orange liqueur),Fl Oz
Rum Toddy (Cold),0.5, Water,Fl Oz
Deauville Cocktail,0.5, Apple Brandy,Fl Oz
Allies Cocktail,1.0, Gin,Fl Oz
Rum Swizzle,1.0, Fresh Lime Juice,Fl Oz
A. J.,1.0, Grapefruit Juice,Fl Oz
After Supper Cocktail,1.0, Triple Sec,Fl Oz
Rum Sour,0.75, Fresh lemon juice,Fl Oz
Acapulco,1.0, Lime Juice,Fl Oz
Absinthe Drip Cocktail,1.0, Sugar,Fl Oz
Ambrosia,1.0, Brandy,Fl Oz
Rum Screwdriver,5.0, Orange juice,Fl Oz
Rum Rickey,0.5, Fresh Lime Juice,Fl Oz
Scotch Cocktail,1.5, Desmond & Duff Scotch Whisky,Fl Oz
Rum Relaxer,1.0, Pineapple Juice,Fl Oz
Rum Old-Fashioned,1.0, 151-Proof Rum,Fl Oz
Rum Martini,1.0, Dry Vermouth,Fl Oz
Rum Highball,1, Ginger ale or soda water,garnish
Rum Fix,1.0, Fresh lemon or lime juice,Fl Oz
Rum Daisy,0.5, Fresh lemon juice,Fl Oz
D'artagnan,1.0, Grand Marnier,Fl Oz
Rum Cooler,0.5, Simple Syrup,Fl Oz
Rum Collins,1.0, Fresh Lime Juice,Fl Oz
Seaboabd,1.0, Old Mr. Boston Dry Gin,Fl Oz
Rum Cobbler,0.25, Simple Syrup,Fl Oz
Robson Cocktail,0.5, Fresh lemon juice,Fl Oz
Rio Fix,1.5, Cachaca,Fl Oz
Ringo Starr,0.5, Lemon,Fl Oz
Restless Native,0.75, White creme de cacao,Fl Oz
Quarter Deck Cocktail,0.5, Cream sherry,Fl Oz
Quaker's Cocktail,0.75, Brandy,Fl Oz
Puerto Rican Rum Daisy,0.25, Orange curacao,Fl Oz
Cuban Cocktail No. 2,0.5, Light Rum,Fl Oz
Prohibition Punch,0.75, Grand Marnier,Fl Oz
Prairie Oyster Cocktail,1.0, Worcestershire Sauce,Fl Oz
Poker Cocktail,1.5, Sweet Vermouth,Fl Oz
Planter's Punch No. 2,2.0, Orange juice,Fl Oz
Planter's Punch No. 1,2.0, Fresh Lime Juice,Fl Oz
Planter's Cocktail,0.5, Fresh lemon juice,Fl Oz
Pink Paradise,1.0, Amaretto,Fl Oz
Pink Creole,0.5, Fresh Lime Juice,Fl Oz
Pineapple Fizz,1.0, Pineapple Juice,Fl Oz
Pineapple Cocktail,0.75, Pineapple Juice,Fl Oz
Pearl Button,0.75, Lillet Blanc,Fl Oz
The Crux,0.75, Triple Sec,Fl Oz
Paris When It Sizzles,2.0, Dark rum,Fl Oz
Palmetto Cocktail,1.5, Dry Vermouth,Fl Oz
Paddington,1.5, Light Rum,Fl Oz
The Old Cuban,1.0, Simple Syrup,Fl Oz
"Oh, Gosh!",1.5, Triple Sec,Fl Oz
Night Cap,0.5, Simple Syrup,Fl Oz
New Orleans Buck,1.0, Fresh orange juice,Fl Oz
Nevada Cocktail,1.0, Grapefruit Juice,Fl Oz
Moonquake Shake,1.0, Coffee-flavored brandy,Fl Oz
Monkey Wrench,1, Grapefruit Juice,garnish
Creme De Cafe,0.5, Light Rum,Fl Oz
Margarita,0.75, Cointreau or triple sec,Fl Oz
Mojito,7.0, Fresh mint leaves,garnish
Champagne Flamingo,0.75, Campari,Fl Oz
Thunder and Lightning Cocktail,1.0, Powdered Sugar,Fl Oz
Casco Bay Lemonade,2.0, Simple Syrup,Fl Oz
Caribbean Cruise,0.25, Light Rum,Fl Oz
Cappuccino Cocktail,0.75, Coffee-flavored brandy,Fl Oz
Cape Codder,5.0, Cranberry Juice,Fl Oz
Baltimore Bracer Cocktail,1.0, Old Mr. Boston Five Star Brandy,Fl Oz
Caesar,1.5, Vodka,Fl Oz
Bull Shot,3.0, Cold beef bouillon,Fl Oz
Bullfrog,5.0, Lemonade,Fl Oz
Boston Gold,0.5, Creme de banana,Fl Oz
Corpse Reviver No. 1,1.0," Calvados, apple brandy, or applejack",Fl Oz
Thanksgiving Special Cocktail,0.75, Old Mr. Boston Dry Gin,Fl Oz
Tequini Cocktail,0.5, Dry Vermouth,Fl Oz
Bordeaux Cocktail,0.5, Lillet Blanc,Fl Oz
Bolshoi Punch,0.75, Fresh lemon juice,Fl Oz
Blue Lagoon,1.0, Blue curacao,Fl Oz
Stinger Cocktail,1.5, Old Mr. Boston Five Star Brandy,Fl Oz
Bloody Mary,3.0, Tomato Juice,Fl Oz
Spritzer Highball,1,carbonated water,garnish
Bloody Bull,2.0, Tomato Juice,Fl Oz
The Blood Orange,1.0, Campari,Fl Oz
Black Russian,0.75, Coffee liqueur,Fl Oz
Black Magic,0.75, Coffee liqueur,Fl Oz
Black Cherry Chocolate,0.75, White chocolate liqueur,Fl Oz
Victor Collins,3.0, Unsweetened Grape Juice,Fl Oz
Snowball Cocktail,0.5, Old Mr. Boston Anisette ,Fl Oz
Violet Fizz,0.5, Powdered Sugar,Fl Oz
Bikini,0.5, Light Rum,Fl Oz
Cold Deck Cocktail,0.5, Sweet Vermouth,Fl Oz
The Big Crush,0.5, Triple Sec,Fl Oz
Bianca,1.5, Citrus-flavored vodka,Fl Oz
Bella Fragolia,4.0, Fresh basil leaves,Fl Oz
Beer Buster,1, Chilled beer or ale,garnish
Basil 8,5.0, White grapes,Fl Oz
Shamrock Cocktail,0.5, Dry Vermouth,Fl Oz
Aqueduct,0.75, Fresh Lime Juice,Fl Oz
Scotch Whisky Highball,1,ginger ale,garnish
Alfie Cocktail,0.75, Pineapple Juice,Fl Oz
Admiral Perry,1.0, Cinnamon schnapps,Fl Oz
Yellow Rose Of Texas,0.75, Fresh lemon juice,Fl Oz
St. Patrick's Day Cocktail,0.75, Green Chartreuse,Fl Oz
Purple Twister,1,cola,garnish
Waiting On Summer,3.0, Fresh sage leaves,Fl Oz
Cognac Highball,1, Ginger ale or soda water,garnish
Prince's Smile Cocktail,0.5, Apple Brandy,Fl Oz
Viva Villa,1.5, Blanco tequila,Fl Oz
Praire Oyster Cocktail,1.0, Worcestershire Sauce,Fl Oz
Praire Chicken,1.0, Whole Egg,Fl Oz
Venial Sin,0.5, Mezcal,Fl Oz
Vagabundo,1.5, Pineapple Juice,Fl Oz
The 21st Century,1.0, Absinthe,Fl Oz
Pollyanna Cocktail,3 slices,pineapple,garnish
Toreador,0.5, Dark creme de cacao,Fl Oz
Pink Squirrel Cocktail,1.0, Old Mr. Boston White Creme de Cacao,Fl Oz
Pink Lady Cocktail,1.0, Grenadine,Fl Oz
Tijuana Taxi,1.0, Blue curacao,Fl Oz
Tia Juanathan,0.5, Fresh Lime Juice,Fl Oz
Phoebe Snow Cocktail,1.5, Old Mr. Boston Five Star Brandy,Fl Oz
Tequonic,0.25, Fresh lemon or lime juice,Fl Oz
Tequini,0.5, Dry Vermouth,Fl Oz
Passion Daiquiri Cocktail,1.0, Juice of a Lime,Fl Oz
Parisian Blonde Cocktail,0.75, Old Mr. Boston Triple Sec,Fl Oz
Tequila Sunrise,4.0, Orange juice,Fl Oz
Coffee Grasshopper,0.75, White creme de menthe,Fl Oz
Tequila Straight,1.5, Blanco tequila,Fl Oz
Tequila Sour,0.75, Fresh lemon juice,Fl Oz
Tequila Smash,4.0, Bing cherries,Fl Oz
Tequila Pink,1.0, Dry Vermouth,Fl Oz
Tequila Old-Fashioned,1.0, Simple Syrup,Fl Oz
Rob Roy Cocktail,1.5, Desmond & Duff Scotch Whisky,Fl Oz
Tequila Mockingbird,0.25, Minced ginger,Fl Oz
Tequila Matador,2.0, Pineapple Juice,Fl Oz
Tequila Manhattan,1.0, Sweet Vermouth,Fl Oz
T.N.T. Cocktail,1.5, Absinthe Substitute,Fl Oz
Thunderclap Cocktail,0.75, Old Thompson Blended Whiskey,Fl Oz
Thunder Cocktail,1.0, Egg Yolk,Fl Oz
Tequila Collins,0.5, Fresh lemon juice,Fl Oz
White Lady Cocktail,1.0, Powdered Sugar,Fl Oz
Tequila Canyon,0.25, Triple Sec,Fl Oz
Chicago Cocktail,1.0, Brandy,Fl Oz
Sunday Confession,1.0, Limoncello,Fl Oz
Strawberry Margarita,3.0," Fresh strawberries, cut in half",Fl Oz
Western Rose Cocktail,1.0, Old Mr. Boston Dry Gin,Fl Oz
Widow's Kiss Cocktail,0.5, Yellow Chartreuse,Fl Oz
Spice Of Life,12.0,Fresh mint leaves,garnish
Widow's Dream Cocktail,1.0, Whole Egg,Fl Oz
Vodka Gypsy Cocktail,0.75, Benedictine,Fl Oz
South Of The Border,0.75, Coffee-flavored brandy,Fl Oz
Vodka Grasshopper Cocktail,0.75, Old Mr. Boston Green Creme de Menthe,Fl Oz
Violet Fizz Juice,0.5, Powdered Sugar,Fl Oz
Smoked Margarita,1.0, Reposado tequila,Fl Oz
Sloe Tequila,0.5, Sloe gin,Fl Oz
Queen Elizabeth Cocktail,0.5, Dry Vermouth,Fl Oz
Silk Stockings,1.0, White creme de cacao,Fl Oz
Orchid Cocktail,1.0, Egg White,Fl Oz
Orange Milk Fizz,1.0, Powdered Sugar,Fl Oz
Orange Gin Rickey,2.0, Old Mr. Boston Orange Flavored Gin ,Fl Oz
Orange Gin Highball,1,ginger ale,garnish
Orange Gin Fizz,1.0, Powdered Sugar,Fl Oz
Orange Gin Collins,2.0, Old Mr. Boston Orange Flavored Gin ,Fl Oz
Sidewinder,0.5, Campari,Fl Oz
Orange Blossom Cocktail,1.0, Orange Juice,Fl Oz
Shady Lady,1.0, Melon liqueur,Fl Oz
Cherry Blossom,1.0, Brandy,Fl Oz
The Sfozando,0.75, Rye Whiskey,Fl Oz
Napoleon Cocktail,0.5, Curacao,Fl Oz
Moulin Rouge Cocktail,0.75, Sweet Vermouth,Fl Oz
Sea Of Cortez,1.0, Fresh Lime Juice,Fl Oz
Satin Sheets,0.5, Falernum,Fl Oz
Santana Sling,0.5, Cherry Heering,Fl Oz
Rosita,0.5, Sweet Vermouth,Fl Oz
Mariposa Cocktail,0.5, Old Mr. Boston Five Star Brandy,Fl Oz
Margarita Cocktail,0.5, Old Mr. Boston Triple Sec,Fl Oz
The Refuge,0.5, Aperol,Fl Oz
Manhattan Cocktail (dry),1.5, Old Thompson Blended Whiskey,Fl Oz
Mamie Taylor,2.0, Desmond & Duff Scotch Whisky,Fl Oz
Quetzalcoatl,0.75, Mezcal,Fl Oz
Zero Mint,1,water,garnish
Purple Pancho,1.0, Blanco tequila,Fl Oz
Midnight Express,0.5, Triple Sec,Fl Oz
London Special Cocktail,1,lump sugar,garnish
Mary Pickford Cocktail,0.75, Pineapple Juice,Fl Oz
Charles Cocktail,1.5, Sweet Vermouth,Fl Oz
Martinique Rose,0.5, Amaretto,Fl Oz
Mariposa,0.5, Brandy,Fl Oz
Mandeville,1.0, Dark rum,Fl Oz
K.C.B. Cocktail,1.5, Old Mr. Boston Dry Gin,Fl Oz
Malmaison,1.0, Light Rum,Fl Oz
Mai-Tai (Trader Vic Version),0.5, Orange curacao,Fl Oz
Jersey Lightning Cocktail,0.5, Sweet Vermouth,Fl Oz
Lumination,1.0, Simple Syrup,Fl Oz
Jamaica Glow Cocktail,1.0, Claret,Fl Oz
Lounge Lizard,0.5, Amaretto,Fl Oz
Jack-in-the-Box Cocktail,1.0, Pineapple Juice,Fl Oz
Irish Whisky Cocktail,0.5, Absinthe Substitute,Fl Oz
Look Out Below,0.5, Fresh Lime Juice,Fl Oz
Little Princess Cocktail,1.5, Sweet Vermouth,Fl Oz
Little Devil Cocktail,0.75, Gin,Fl Oz
Champs Elysees Cocktail,0.5, Yellow Chartreuse,Fl Oz
Hop Toad Cocktail ,0.75, Old Mr. Boston Apricot Flavored Brandy,Fl Oz
Level headed Cocktail,1.0, Cold brewed coffee,Fl Oz
La Vita Dulce,0.75, Mezcal,Fl Oz
Hole-in-One Cocktail,0.75, Dry Vermouth,Fl Oz
Ko Adang,1.0, Coconut rum,Fl Oz
Knickerbocker Special Cocktail,0.5, Triple Sec,Fl Oz
Hair Raiser Cocktail,0.5, Old Mr. Boston Rock and Rye,Fl Oz
Green Opal Cocktail,0.5, Old Mr. Boston Anisette ,Fl Oz
Jamaican Ginger,1.0, Dark rum,Fl Oz
Green Dragon Cocktail,0.5, Old Mr. Boston Kummel,Fl Oz
Grasshopper Cocktail,0.75, Old Mr. Boston White Creme de Cacao,Fl Oz
Jamaican Crawler,1.0, Melon liqueur,Fl Oz
Golden Slipper Cocktail,2.0, Old Mr. Boston Apricot Flavored Brandy,Fl Oz
Jade,0.5, Fresh Lime Juice,Fl Oz
Jacqueline,1.0, Triple Sec,Fl Oz
Jack Sparrow Flip,0.75, Madeira,Fl Oz
Irresistible,0.5, Sweet Vermouth,Fl Oz
Carroll Cocktail,0.75, Sweet Vermouth,Fl Oz
Hush and Wonder,2.0, Light Rum,Fl Oz
Hurricane Leah,1.0, cherry-flavored brandy,Fl Oz
Gimlet Cocktail,1.0, Powdered Sugar,Fl Oz
Hurricane,1.0, Passion Fruit Syrup,Fl Oz
Hop Toad,0.75, Apricot-Flavored Brandy,Fl Oz
The Holy Roller,0.75, Fresh Lime Juice,Fl Oz
Hemingway's Nog,0.75, Vanilla liqueur,Fl Oz
Flying Scotchman Cocktail,1.0, Desmond & Duff Scotch Whisky,Fl Oz
Flying Grasshopper Cocktail,0.75, Old Mr. Boston White Creme de Cacao,Fl Oz
Havana Cocktail,1.5, Pineapple Juice,Fl Oz
Harvest Nectar,1.0, Pineapple Juice,Fl Oz
Fancy Brandy Cocktail,1.0, Bitters,Fl Oz
Fallen Angel Cocktail,1.5, Old Mr. Boston Dry Gin,Fl Oz
The Poncho,0.5, Dry Vermouth,Fl Oz
Hai Karate,1.0, Fresh Lime Juice,Fl Oz
Cara Sposa,0.75, Triple Sec,Fl Oz
Traditional Martini (Dry),1.0, Dry Vermouth,Fl Oz
Pina Agave,1.5, Blanco tequila,Fl Oz
Grande Guignol,0.75, Yellow Chartreuse,Fl Oz
Pancho Villa,0.75, Aperol,Fl Oz
Paloma (Natural),2.0, Fresh white or ruby red grapefruit juice,Fl Oz
Golden Friendship,1.0, Sweet Vermouth,Fl Oz
Paloma,1, Grapefruit-flavored soda,garnish
Pacific Sunshine,1.5, Blanco tequila,Fl Oz
Golden Eclipse,0.25, Amaro,Fl Oz
Diplomat Cocktail,0.5, Sweet Vermouth,Fl Oz
Oldest Temptation,1.0, Apple juice,Fl Oz
Ginger Grapefruit Rickey,2.0, Fresh grapefruit juice,Fl Oz
Calvados Cocktail,1.5, Orange juice,Fl Oz
Daiquiri Cocktail,1.0, Powdered Sugar,Fl Oz
The Oaxaca Old-Fashioned,0.5, Mezcal,Fl Oz
Cuban Special Cocktail,0.5, Juice of a Lime,Fl Oz
Gaugin,0.5, Fresh lemon juice,Fl Oz
The Nomad South,1.0, Orange juice,Fl Oz
Creole Lady Cocktail,1.5, Madeira,Fl Oz
No. 8,0.75, Palo cortado or oloroso sherry,Fl Oz
Fog Cutter,0.5, Brandy,Fl Oz
Mexicola,0.5, Fresh Lime Juice,Fl Oz
Floridita No. 3,0.75, Fresh Lime Juice,Fl Oz
Mexican Monk,0.5, Dry Sherry,Fl Oz
Floridita No. 1,0.5, Fresh Lime Juice,Fl Oz
Mexican Madras,2.0, Cranberry Juice,Fl Oz
Cadiz,0.25, Dry Sherry,Fl Oz
Chocolate Soldier Cocktail,0.75, Dubonnet,Fl Oz
Fireman's Sour,2.0, Fresh Lime Juice,Fl Oz
Fat Like Buddha,0.75, Dubonnet Rouge,Fl Oz
Cherry Blossom Cocktail,0.5, Old Mr. Boston Wild Cherry Flavored Brandy,Fl Oz
Fair-and-Warmer Cocktail,0.75, Sweet Vermouth,Fl Oz
Chelsea Sidecar Cocktail,0.75, Old Mr. Boston Triple Sec,Fl Oz
Mexican Firing Squad,1.0, Simple Syrup,Fl Oz
Mexicana,1.0, Fresh lemon juice,Fl Oz
El Presidente Cocktail No. 2,0.75, Dry Vermouth,Fl Oz
Margarita Tequila,1.5, Blanco tequila,Fl Oz
Lillypad,0.5, each Lillet Blanc and Lillet Rouge,Fl Oz
X. Y. Z. Cocktail,0.5, Old Mr. Boston Triple Sec,Fl Oz
La Ultima Palabra,0.75, Fresh grapefruit juice,Fl Oz
La Perla,1.5, Manzanilla sherry,Fl Oz
Bull's Milk,1.0, Light Rum,Fl Oz
La Bomba,1.25, Gold tequila,Fl Oz
Jinx Cocktail,0.75, Blood orange liqueur,Fl Oz
The Interesting Cocktail,0.5, Aperol,Fl Oz
Hot Pants,1.5, Blanco tequila,Fl Oz
High Plains Drifter No. 1,2.0, Blanco tequila,Fl Oz
Hairy Sunrise,0.75, Vodka,Fl Oz
Guadalajara,1.0, Dry Vermouth,Fl Oz
Frostbite,0.75, White creme de cacao,Fl Oz
Flower Power,1.0, Grapefruit Juice,Fl Oz
Cablegram Highball,1.0, Powdered Sugar,Fl Oz
Cabaret Cocktail,2.0, Bitters,Fl Oz
Bulla's Eye,2.0, Hard cider,Fl Oz
El Oso (The Bear),0.75, Honey liqueur,Fl Oz
El Ni_o,1.0, Whole strawberry,Fl Oz
El Molino,0.75, Palo cortado or oloroso sherry,Fl Oz
Bucks Fizz,1,champagne,garnish
Dirty Daisy,1.0, White Curacao,Fl Oz
Diablo,0.75, Creme de Cassis,Fl Oz
Count Camillo's Paloma,0.75, Sweet Vermouth,Fl Oz
Company B,1.5, Blanco tequila,Fl Oz
Chupa Cabra,0.75, Fresh grapefruit juice,Fl Oz
Chinchona,0.75, Lillet Rouge,Fl Oz
Chapala,1.5, Orange juice,Fl Oz
Bulldog Cocktail,0.75, Gin,Fl Oz
Boston Sidecar Cocktail,0.75, Old Mr. Boston Rum,Fl Oz
Catalina Margarita,1.0, Peach schnapps,Fl Oz
Camino Del Ray,1.0, Oloroso sherry,Fl Oz
Cactus Berry,1.25, Blanco tequila,Fl Oz
Bolero Cocktail,0.75, Apple Brandy,Fl Oz
Bum's Rush,0.75, Triple Sec,Fl Oz
Brave Bull,1.0, Coffee liqueur,Fl Oz
Blue Margarita,1.5, Blanco tequila,Fl Oz
