cocktail,measure,ingredient,unit
Flying Scotchman,1.0, Blended Scotch Whiskey,Fl Oz
The Final Ward,0.75, Straight rye whiskey,Fl Oz
Martini ,1.5, Mr. Boston Gin,Fl Oz
Fancy Whiskey,2.0, Bourbon or rye whiskey,Fl Oz
Mandarine Sour,2.0, Mandarine Napoleon Liqueur,Fl Oz
Mandarine Mist,1.5, Mandarine Napoleon Liqueur,Fl Oz
Underneath The Mango Tree,for glass," Lime wedge, Sweet Chili Powder",garnish
Fancy-Free Cocktail,2.0, Bourbon whiskey,Fl Oz
Honeymoon Cocktail,0.75, Apple Brandy,Fl Oz
Twister,2.0, Vodka,Fl Oz
Everybody's Irish Cocktail,2.0, Irish Whiskey,Fl Oz
Trident,1.0, Aquavit or vodka,Fl Oz
Top Banana,1.0, Vodka,Fl Oz
Emperor Norton's Mistress,3.0," Fresh strawberries, cut in halves",Fl Oz
Easterner,2.0, Straight rye whiskey,Fl Oz
Toasted Drop,for glass," Lemon wedge, Cinnamon Sugar",garnish
Eastern Sour,2.0, Bourbon whiskey,Fl Oz
K. C. B. Cocktail,0.5, Kummel,Fl Oz
Easter Elchies,2.0, Single-malt Scotch whisky,Fl Oz
Dufftown Flip,2.0, Blended Scotch Whiskey,Fl Oz
Harvard Cooler,2.0, Apple Brandy,Fl Oz
The Duboudreau Cocktail,2.0, Straight rye whiskey,Fl Oz
Irish Whisky ,0.5, Mr. Boston Triple Sec,Fl Oz
Dubliner,2.0, Irish Whiskey,Fl Oz
Double Standard Sour,0.75, Rye or bourbon whiskey,Fl Oz
Dixie Whiskey Cocktail,2.0, Bourbon whiskey,Fl Oz
Hill Billy Highball,2.0, Georgia Moon Corn Whiskey,Fl Oz
The Titian,1.0, Orange-flavored vodka,Fl Oz
Tiger Tanaka,3.0, Fresh cilantro leaves,Fl Oz
Grenadine Rickey,0.5, Juice of a Lime,Fl Oz
Thyme Collins,2.0, Citrus-flavored vodka,Fl Oz
Tabby Cat,2.0, Dubonnet Rouge,Fl Oz
God Child,1.0, Amaretto di Saronno,Fl Oz
Sweet Maria,1.0, Vodka,Fl Oz
Dirty Harry,1.0, Absinthe,Fl Oz
Harvard Cocktail,1.5, Brandy,Fl Oz
Gin and Milk Punch,1.0, Powdered Sugar,Fl Oz
Surf Rider,2.0, Vodka,Fl Oz
Dinah Cocktail,1.5, Bourbon whiskey,Fl Oz
Tea Saronno,6.0,Hot Tea,Fl Oz
The Summer Of Love,2.0, Orange-flavored vodka,Fl Oz
Devil's Soul,1.5, Straight rye whiskey,Fl Oz
Deshler,1.5, Straight rye whiskey,Fl Oz
T.N.T. No. 1,1.5, Old Thompson Blended Whiskey,Fl Oz
Stupid Cupid,2.0, Citrus-flavored vodka,Fl Oz
Derby,2.0, Bourbon whiskey,Fl Oz
Stockholm 75,for glass," Lemon wedge, superfine sugar",garnish
The Delmarva Cocktail,2.0, Straight rye whiskey,Fl Oz
Sputnik,1.25, Vodka,Fl Oz
Gotham,1.0, Absinthe or pastis,Fl Oz
De La Louisiane,0.75, Straight rye whiskey,Fl Oz
The Debonair,2.5, Single-malt Scotch whisky,Fl Oz
Soviet,1.5, Vodka,Fl Oz
Daisy Dueller,2.0, Tennessee whiskey,Fl Oz
Sonic Blaster,0.5, Vodka,Fl Oz
Creole Lady,1.5, Bourbon whiskey,Fl Oz
Rum Coooler,0.0833335,powdered sugar,garnish
Siberian Sleighride,1.25, Vodka,Fl Oz
Cotton Club Flip,2.0, Vanilla-Infused Bourbon,Fl Oz
Golden Dawn,1.0, Apple Brandy,Fl Oz
Sidecar,1.0, Cognac,Fl Oz
Shalom,1.5, Vodka,Fl Oz
Commodore Cocktail,2.0, Bourbon Whiskey,Fl Oz
Sea Breeze,1.5, Vodka,Fl Oz
Screwdriver,1.5, Vodka,Fl Oz
Coffee Old-Fashioned,2.0, Bourbon whiskey,Fl Oz
Dry Martini,1.6666666666666665, Mr. Boston Gin,Fl Oz
Salty Dog,for glass," Lemon wedge, coarse salt",garnish
Dr. Cook,0.75, Mr. Boston Gin,Fl Oz
Dillatini Cocktail,1.5, Mr. Boston Gin,Fl Oz
Chi-Town Flip,2.0, Bourbon whiskey,Fl Oz
Chef's Pain,2.0, Bourbon whiskey,Fl Oz
Sampan Shipwreck A,1.5, Vodka,Fl Oz
Chas,1.5, Bourbon whiskey,Fl Oz
Goat's Delight,1.0, Brandy,Fl Oz
Russian Bear Cocktail,1.0, Vodka,Fl Oz
Character Development,2.0, Scotch Whiskey,Fl Oz
Ruby Red,2.0, Grapefruit-flavored vodka,Fl Oz
Chaplin,0.75, Bourbon whiskey,Fl Oz
Rouxby Red,for glass,"For glass Lemon wedge, coarse salt",garnish
Rosemary Clementine Sparkle,0.25, Clementine or mandarin orange,Fl Oz
Chapel Hill,2.0, Bourbon whiskey,Fl Oz
Robin's Nest,1.0, Vodka,Fl Oz
Chancellor Cocktail,1.5, Blended Scotch Whiskey,Fl Oz
Cafe di Saronno,1.0, Amaretto di Saronno,Fl Oz
Carre Reprise,1.0, Straight rye whiskey,Fl Oz
Gilroy Cocktail,0.75, cherry-flavored brandy,Fl Oz
Redhead Martini,4.0," Strawberries, cut into halves",Fl Oz
Red Apple,1.5, Vodka,Fl Oz
Canal Street Daisy,1.0, Blended Scotch Whiskey,Fl Oz
Canadian Cocktail,1.5, Canadian whisky,Fl Oz
Purple Ruby,1.5, Vodka,Fl Oz
Canadian Cherry,1.0, Maraschino liqueur,Fl Oz
Orange Smile,1.0, Egg,Fl Oz
Purple Passion Iced Tea,0.5, Vodka,Fl Oz
Canadian Breeze,1.5, Canadian whisky,Fl Oz
Purple Passion,1.5, Vodka,Fl Oz
Cameron's Kick Cocktail,0.75, Blended Scotch Whiskey,Fl Oz
Georgia Mint Julep,2.0, Mint sprigs,Fl Oz
California Lemonade,2.0, Bourbon whiskey,Fl Oz
Boston Side Car ,0.75, Mr. Boston Five Star Brandy,Fl Oz
Cablegram,2.0, Bourbon whiskey,Fl Oz
Bull And Bear,1.5, Bourbon whiskey,Fl Oz
Brooklyn,1.5, Rye or bourbon whiskey,Fl Oz
Brighton Punch,0.75, Bourbon whiskey,Fl Oz
Bourbon Renewal,2.0, Bourbon whiskey,Fl Oz
Bourbon Highball,2.0, Bourbon whiskey,Fl Oz
Bourbon And Elder,2.0, Bourbon whiskey,Fl Oz
Bourbon Crusta,for glass," Lemon wedge, superfine sugar,  Long, wide spiral of orange zest",garnish
Bourbon Cooler,2.5, Bourbon whiskey,Fl Oz
Froupe Cocktail,1.5, Brandy,Fl Oz
Bourbon A La Creme,2.0, Bourbon whiskey,Fl Oz
The Bone,2.0, Bourbon whiskey,Fl Oz
Bobby Burns Cocktail,1.5, Blended Scotch Whiskey,Fl Oz
Bloody Scotsman,24.0," Smoky Scotch whisky, such as Laphroaig",Fl Oz
White Cargo Cocktail,1.0, Vanilla Ice Cream,Fl Oz
Blood and Sand,0.5, Blended Scotch Whiskey,Fl Oz
The Blinker,2.0, Straight rye whisky,Fl Oz
Pike's Peak Cooler,1,Cider,garnish
Blarney Stone Cocktail,2.0, Irish Whiskey,Fl Oz
Pacman,2.0, Lemon Juice,Fl Oz
Lemonade (Golden),1.0, Juice of a Lemon,Fl Oz
Black Hawk,1.5, Bourbon whiskey,Fl Oz
Lemonade (Egg),1.0, Juice of a Lemon,Fl Oz
Bensonhurst,1.0, Cynar,Fl Oz
Chocolate Daisy,0.5, Juice of a Lemon,Fl Oz
The Beautiful Day,1.25, Irish Whiskey,Fl Oz
French Quarter,2.0, Brandy,Fl Oz
Creme de Gin Cocktail,1.5, Gin,Fl Oz
Creamy Screwdriver,2.0, Vodka,Fl Oz
Creamy Orange,1.0, Orange Juice,Fl Oz
Creamsicle,1.5, Vanilla liqueur,Fl Oz
Cowboy Cocktail,1.5, Blended whiskey,Fl Oz
Beals Cocktail,1.5, Blended Scotch Whiskey,Fl Oz
Coronation Cocktail,0.75, Gin,Fl Oz
Cornell Cocktail,0.5, Lemon Juice,Fl Oz
Combo,2.5, Dry Vermouth,Fl Oz
Basin Street,2.0, Bourbon whiskey,Fl Oz
Cole's Raspberry Cream,1.5, Raspberry Yogurt,Fl Oz
Cognac Coupling,2.0, Cognac,Fl Oz
Coffee Sour,1.5, Coffee-flavored brandy,Fl Oz
Coffee Flip,1.0, Whole Egg,Fl Oz
Coffee Cocktail,1.0, Whole Egg,Fl Oz
Purple Mask,1.0, Vodka,Fl Oz
Clove Cocktail,1.0, Sweet Vermouth,Fl Oz
Clover Leaf Cocktail,1.0, Juice of a Lime,Fl Oz
Clover Club Cocktail,1.0, Juice of a Lemon,Fl Oz
Priority Cocktail,2.0, Vodka,Fl Oz
Clamato Cocktail,1.5, Vodka,Fl Oz
Cider Eggnog,1.0, Whole Egg,Fl Oz
Chocolate Soldier,0.5, Juice of a Lime,Fl Oz
Chocolate Flip,1.0, Whole Egg,Fl Oz
Chocolate Cocktail,1.5, Port,Fl Oz
Chicago Fizz,0.5, Juice of a Lemon,Fl Oz
Pretty In Pink,2.0, Vodka,Fl Oz
Cherry Wine Cocktail,0.75, Danish Cherry Wine,Fl Oz
Cherry Flip,1.0, Whole Egg,Fl Oz
Cherry Cooler,2.0, Cherry Vodka,Fl Oz
Polynesian Cocktail,1," Lime wedge, superfine sugar",garnish
Chateau Briand's Rum Cow,1.25, Dark rum,Fl Oz
Champagne Velvet,5.0, Chilled Stout,Fl Oz
Pink Pussycat,1.5, Vodka,Fl Oz
Back Porch Swizzle,1.5, Bourbon whiskey,Fl Oz
Canadian Pineapple,1.5, Canadian whisky,Fl Oz
Calm Voyage,0.5, Strega,Fl Oz
Pink Lemonade,1.5, Citrus-flavored vodka,Fl Oz
Caledonia,1.0, Creme de Cacao (Brown),Fl Oz
Caf_ di Amaretto ,1.0, Hot Black Coffee,Fl Oz
Cafe De Paris Cocktail,1.0, Egg White,Fl Oz
Aztec's Mark,1.5, Bourbon whiskey,Fl Oz
Fontainebleau Special,1.0, Brandy,Fl Oz
Suntan,2.0, Hot Shot Tropical Fruit Liqueur,Fl Oz
Sunburn,2.0, Hot Shot Tropical Fruit Liqueur,Fl Oz
Suissesse Cocktail,2.0, Anisette,Fl Oz
Strawberry Sunries,2.0, Strawberry schnapps,Fl Oz
Autumn Leaves,0.75, Straight rye whiskey,Fl Oz
Pickled Pink,2.0, Vodka,Fl Oz
Aquarius,1.5, Blended Scotch Whiskey,Fl Oz
Soul Kiss Cocktail,1.5, Orange Juice,Fl Oz
Pickled Martini,2.0, Vodka,Fl Oz
Sloe Gin Flip,1.0, Whole Egg,Fl Oz
Angel's Share,1.5, Bourbon whiskey,Fl Oz
Silver Stallion Fizz,1.0, Vanilla Ice Cream,Fl Oz
Silver King Cocktail,1.0, Egg White,Fl Oz
American Trilogy,1.0," Brown sugar cube, such as Demerara",Fl Oz
Silver Fizz,0.5, Juice of a Lemon,Fl Oz
Sherry Twist Cocktail,1.0, Cream sherry,Fl Oz
Sherry Sangaree,0.5, Powdered Sugar,Fl Oz
Sherry Milk Punch,1.0, Powdered Sugar,Fl Oz
Petit Zinc,1.0, Vodka,Fl Oz
Sherry Flip,1.0, Whole Egg,Fl Oz
Americana,1.0, Tennessee whiskey,Fl Oz
Allegheny,1.0, Bourbon whiskey,Fl Oz
Sevilla Cocktail,0.5, Powdered Sugar,Fl Oz
September Morn Cocktail,1.0, Egg White,Fl Oz
Peach Iced Tea,1.5, Peach-flavored vodka,Fl Oz
Fantasio Cocktail,1.0, Brandy,Fl Oz
Scotch Bird Flyer,1.5, Scotch,Fl Oz
Algonquin,1.5, Straight rye whiskey,Fl Oz
Savannah,0.5, Juice of Orange,Fl Oz
Pink Rose Fizz,0.5, Juice of a Lemon,Fl Oz
Ninotchka Cocktail,1.5, Vodka,Fl Oz
Prairie Oyster,1.0, Brandy,Fl Oz
Prairie Chicken,1.0, Gin,Fl Oz
Pousse L'Amour,1.0, Maraschino,Fl Oz
Puerto Apple,1.5, Applejack,Fl Oz
Akogare,1.5, Straight rye whiskey,Fl Oz
Prado,1.5, Tequila,Fl Oz
Port Wine Flip,1.0, Whole Egg,Fl Oz
Port Wine Cobbler,0.166667, powdered sugar,garnish
Nijinksy Blini,1.0, Vodka,Fl Oz
Affinity Cocktail (whisky),1.0, Blended Scotch Whiskey,Fl Oz
Plain Vermouth Cocktail,1.0, Dry Vermouth,Fl Oz
Ping-Pong Cocktail,0.25, Juice of a Lemon,Fl Oz
Moscow Mule,1.5, Vodka,Fl Oz
Phoebe Snow,1.5, Dubonnet,Fl Oz
Affinity Cocktail,2.0, Straight rye whiskey,Fl Oz
Peggy Cocktail,0.75, Dry Vermouth,Fl Oz
Peach Blow Fizz,0.5, Juice of a Lemon,Fl Oz
Peach Blossom,1.0, Lemon Juice,Fl Oz
Passion Mimosa,2.0, Chilled Passion Fruit Juice,Fl Oz
Mocha Express,1.5, Vodka,Fl Oz
Palmer Cocktail,2.0, Blended whiskey,Fl Oz
Mr. 404,1.5, Vodka,Fl Oz
Mountain Cocktail,1.0, Egg White,Fl Oz
Morning Glory Fizz,0.5, Juice of a Lemon,Fl Oz
Adderly Cocktail,2.0, Straight rye whiskey,Fl Oz
Fancy Brandy,2.0, Brandy,Fl Oz
Montreal Gin Sour,1.0, Gin,Fl Oz
Montezuma,1.5, Tequila,Fl Oz
Miss Jones,1.5, Vanilla-flavored vodka,Fl Oz
Mint Gin Cocktail,1.0, Mint-Flavored Gin,Fl Oz
Mint Collins,0.5, Juice of a Lemon,Fl Oz
Million-Dollar Cocktail,2.0, Pineapple Juice,Fl Oz
Millionaire Cocktail,1.0, Egg White,Fl Oz
Academic Review,1.5, Irish Whiskey,Fl Oz
Milk Punch,1.0, Powdered Sugar,Fl Oz
Merry Widow Fizz,0.5, Juice of Orange,Fl Oz
May Blossom Fizz,1.0, Grenadine,Fl Oz
Mary Garden Cocktail,1.5, Dubonnet,Fl Oz
19th Century,1.5, Bourbon whiskey,Fl Oz
Manila Fizz,2.0, Gin,Fl Oz
1626,2.5, Bourbon whiskey,Fl Oz
Maracuya Mosquito,4.0, Fresh basil leaves,Fl Oz
Madras,1.5, Vodka,Fl Oz
Absinthe Cocktail,1.5, Absinthe Substitute,Fl Oz
Lychee Lucy,1.5, Vodka,Fl Oz
Vodka Martini,1.5, Mr. Boston Vodka,Fl Oz
The Loop,2.0, Black cherry-flavored vodka,Fl Oz
Long Island Iced Tea,0.75, Vodka,Fl Oz
Fallen Leaves,0.75, Calvados,Fl Oz
L'italienne,2.0, Vodka,Fl Oz
Rum Dubonnet,1.5, Light Rum,Fl Oz
Ruby Fizz,0.5, Juice of a Lemon,Fl Oz
Limoncello Manzanilla Marmalade Sour,1.5, Citrus-flavored vodka,Fl Oz
Royal Purple Punch,50.6,red wine,garnish
Royal Gin Fizz,0.5, Juice of a Lemon,Fl Oz
Royal Cocktail,1.0, Whole Egg,Fl Oz
Royal Clover Club Cocktail,1.0, Juice of a Lime,Fl Oz
Lights On The Plaza,2.0,"Cucumber slices, chopped",garnish
Rococo,1.0, Cherry Vodka,Fl Oz
Rock & Rye Cooler,1.0, Rock and Rye,Fl Oz
Rock & Rye Cocktail,1.0, Rock and Rye,Fl Oz
Le Paradini,1.5, Vodka,Fl Oz
Red Swizzle,1.0, Juice of a Lime,Fl Oz
Lemon Drop,for glass," Lemon wedge, superfine sugar",garnish
Rebel Charge ,1.0, Bourbon,Fl Oz
Rattlesnake Cocktail,1.5, Blended whiskey,Fl Oz
Ramos Fizz,0.5, Juice of a Lemon,Fl Oz
San Francisco,0.75, Sloe gin,Fl Oz
Sand-Martini Cocktail,1.0, Green Chartreuse,Fl Oz
Sake Martini (Sakini),1.0, Sake,Fl Oz
Lemon Crush,for glass," Lemon wedge, superfine sugar",garnish
Rye Whiskey Cocktail,1.0, Bitters,Fl Oz
Leaves Of Grass,1.5, Aquavit,Fl Oz
Widow's Dream,1.5, Benedictine,Fl Oz
Whiskey Flip,1.0, Whole Egg,Fl Oz
L.A. Sunrise,1.0, Vodka,Fl Oz
White Rose Cocktail,0.75, Gin,Fl Oz
White Plush,2.0, Blended whiskey,Fl Oz
White Elephant,1.5, Gin,Fl Oz
Whiskey Toddy (cold),0.5, Powdered Sugar,Fl Oz
Kretchma Cocktail,1.0, Vodka,Fl Oz
Whiskey Skin,1.0,lump of sugar,garnish
Whiskey Milk Punch,1.0, Powdered Sugar,Fl Oz
Katana,3.0, Cucumber slices,Fl Oz
Ethel Duffy Cocktail,0.75, Apricot-Flavored Brandy,Fl Oz
Daiquiri,2.0, Light Rum,Fl Oz
Wembley Cocktail,0.75, Dry Vermouth,Fl Oz
Weep-No-More Cocktail,0.5, Juice of a Lime,Fl Oz
Jungle Juice,1.0, Vodka,Fl Oz
Wedding Belle Cocktail,1.5, Orange Juice,Fl Oz
Waterloo,1.0, Light Rum,Fl Oz
Waterbury Cocktail,0.5, Powdered Sugar,Fl Oz
Washington Cocktail,1.5, Dry Vermouth,Fl Oz
The Jamaican Ten Speed,1.0, Vodka,Fl Oz
Twin Six Cocktail,1.0, Gin,Fl Oz
Jackie-O,for glass," Lime wedge, pink sanding sugar",garnish
Tropical Heart,1.0, Hot Shot Tropical Fruit Liqueur,Fl Oz
