name,glass,glass-size,instructions
Gauguin,Old-Fashioned Glass,6 to 8 ounces,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.
Fort Lauderdale,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.
Apple Pie,Old-Fashioned Glass,6 to 8 ounces,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.
Cuban Cocktail No. 1,Cocktail Glass,6 or more ounces,Shake with ice and  strain into cocktail glass.
Cool Carlos,Collins Glass,14 to 16 ounces,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry."
John Collins,Collins Glass,14 to 16 ounces,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws."
Cherry Rum,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Casa Blanca,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Caribbean Champagne,Champagne Flute,6 to 8 ounces,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of banana.
Amber Amour,Collins Glass,14 to 16 ounces,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry."
The Joe Lewis,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Bacardi Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Apple Pie No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Yolanda,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of orange peel.
Yellow Rattler,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a cocktail onion.
Why Not?,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Amaretto Stinger,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
What The Hell,Old-Fashioned Glass,6 to 8 ounces,Stir in old-fashioned glass over ice cubes.
Webster Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Union Jack Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Jocose Julep,Collins Glass,14 to 16 ounces,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.
Trinity Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Three Stripes Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Tanq-A-Rita,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Amaretto Sour,Cordial or Pony Glass,2 to 3 ounces,Shake with ice and strain into chilled sour glass. Garnish with orange.
Tailspin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel and a cherry or olive.
Sweet Patootie Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Sunshine Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of orange peel.
Spring Feeling Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Sphinx Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a slice of lemon.
Jitterbug Sour,Cocktail Glass,6 or more ounces,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and lemon twist.
Southern Gin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Society Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Snyder,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Smiler Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Smile Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Amaretto Rose,Collins Glass,14 to 16 ounces,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.
Sand-Martin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Irish Whiskey Highball,Highball Glass,7 to 10 ounces,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Add lemon twist, if desired, and stir."
Japanese,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Roselyn Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Resolute Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Racquet Club Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Amaretto And Cream,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Pollyanna Cocktai,Cocktail Glass,6 or more ounces,Muddle ingredients. Shake with ice and strain into cocktail glass.
Plaza Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a strip of pineapple.
Irish Whiskey Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with olive.
Absinthe Special Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Nineteenth Hole,Cocktail Glass,6 or more ounces,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.
Montreal Club Bouncer,Old-Fashioned Glass,6 to 8 ounces,Pour into old-fashioned glass over ice cubes. Stir.
Monte Carlo Imperial Highball,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.
Irish Shillelagh,Irish Coffee Glass,8 to 9 ounces,"Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and cherry."
Melon Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a cherry.
Martini (Medium),,,Follow directions for Martini preparation.
Martini (Dry) (5-to-1),,,Follow directions for Martini preparation.
Mamie's Sister,Collins Glass,14 to 16 ounces,"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir."
Irish Rickey,Highball Glass,7 to 10 ounces,Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with lime.
Maiden's Prayer,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Lone Tree Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
London Buck,Highball Glass,7 to 10 ounces,Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.
Leap Frog Highball,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes and fill with ginger ale. Stir.
Incider Cocktail,Old-Fashioned Glass,6 to 8 ounces,Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with apple.
Kup's Indispensable Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Knock-Out Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a cherry.
K. G. B. Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Imperial Fizz,Highball Glass,7 to 10 ounces,Shake first four ingredients with ice and strain into ice-filled highball glass. Fill with soda water and stir.
Jeyplak Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a cherry.
H. P. W. Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of orange peel.
I.A.P.,Collins Glass,14 to 16 ounces,Build in ice-filled Collins glass.
Hotel Plaza Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Decorate with a slice of pineapple.
Hoffman House Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with an olive.
Hawaiin Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
White Russian,Old-Fashioned Glass,6 to 8 ounces,Pour vodka and coffee liqueur into ice-filled old-fashioned glass. Fill with milk or half-and-half.
Greyhound,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes. Stir well.
Green Devil,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with mint leaves.
Greenback,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Grapefruit Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a cherry.
Hotel D'alsace,Old-Fashioned Glass,6 to 8 ounces,Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with remaining half-sprig of rosemary.
Jamaica Granito,Collins Glass,14 to 16 ounces,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.
Gin Sling,Old-Fashioned Glass,6 to 8 ounces,Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Add a twist of orange peel.
Gin Milk Punch,Collins Glass,14 to 16 ounces,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Horse's Neck (With A Kick),Collins Glass,14 to 16 ounces,Insert the lemon spiral in Collins glass with one end hanging over the rim. Fill glass with ice cubes. Add whiskey. Fill with ginger ale and stir well.
Gin and It,Cocktail Glass,6 or more ounces,Stir ingredients in cocktail glass. (No ice is used in this drink.)
Gin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a twist of lemon peel.
West Side,Cocktail Glass,6 or more ounces,Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.
Gimlet ,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Free Silver,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.
Frankenjack Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a cherry.
Fog Horn,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Add a slice of lime.
Flying Dutchman,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Hoot Mon Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Fifty-Fifty Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Favorite Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Farmer's Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Warsaw Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Emerald Isle Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Du Barry Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a slice of orange.
Dry Martini (5-to-1),Cocktail Glass,6 or more ounces,"Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Serve with a twist of lemon peel or olive, if desired."
Dixie Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Delmonico No. 2,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Hole-In-One,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Vodka Stinger,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Caruso,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Bulldog Highball,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes and fill with ginger ale. Stir.
Brown Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Bronx Terrace Cocktail,Cocktail Glass,6 or more ounces,Shake with  ice and strain into cocktail glass. Add a cherry.
Bronx Cocktail (Dry),Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a slice of orange.
Hill Dog,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add orange twist.
Blue Devil Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Blue Canary,Cocktail Glass,6 or more ounces,Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.
Blue Bird,Cocktail Glass,6 or more ounces,Stir with ice cubes and strain into cocktail glass. Add a twist of lemon peel and a cherry.
Bloodhound Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Decorate with two or three crushed strawberries.
Billy Taylor,Collins Glass,14 to 16 ounces,Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.
Bijou Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a cherry on top.
Bermuda Rose ,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Vodka Sour,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.
Apricot Anisette Collins,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a slice of lemon.
Alexander's Sister Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.
Highland Cooler,Collins Glass,14 to 16 ounces,Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Insert citrus spiral(s) and dangle end(s) over rim of glass.
Alexander Cocktail No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.
Adam and Eve,Cocktail Glass,6 or more ounces,Shake well with cracked ice and strain into cocktail glass.
Vodka Sling,Old-Fashioned Glass,6 to 8 ounces,"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Add orange twist."
Jack Rose Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Tempter Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Special Rough Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Vodka Grasshopper,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Singapore Sling,Collins Glass,14 to 16 ounces,"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Float cherry-flavored brandy on top. Decorate with fruits in season and serve with straws."
Saratoga Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
High Cotton,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with lemon and mint.
Polonaise,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Vodka Gimlet,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Merry Widow Cocktail No. 2,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a cherry.
Lugger,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Jamaica Hop,Cocktail Glass,6 or more ounces,Shake well with ice and strain into cocktail glass.
Hebrides,Collins Glass,14 to 16 ounces,Pour into ice-filled Collins glass and stir.
Hennessy Martini,Cocktail Glass,6 or more ounces,"Fill shaker or mixing glass with ice. Add Hennessy and lemon juice. Stir gently, don't shake. Let settle. Strain into chilled martini glass. Garnish with twist of lemon peel."
Vodka Daisy,Beer Mug,10 to 12 ounces,Shake with ice. Strain into ice-filled beer mug or metal cup. Garnish with fruit.
Heavenly Dram,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Classic Cocktail,Old-Fashioned Glass,6 to 8 ounces,Prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. Shake ingredients with ice and strain into prepared glass.
Cherry Sling,Old-Fashioned Glass,6 to 8 ounces,Serve in old-fashioned glass filled with ice cubes and stir. Add a twist of lemon peel.
Cherry Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with club soda and decorate with a cherry.
Vodka Cooler,Collins Glass,14 to 16 ounces,Stir vodka and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert a spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.
Carrol Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a cherry.
Button Hook Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Bull's Eye,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes and fill with ginger ale. Stir.
Brantini,Old-Fashioned Glass,6 to 8 ounces,Stir with cracked ice and strain into old-fashioned glass with cubed ice. Add a twist of lemon peel.
Heather's Kiss,Cocktail Glass,6 or more ounces,Shake with ice strain into chilled cocktail glass. Garnish with apple slice.
Brandy Squirt,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass and fill with club soda. Decorate with stick of pineapple and strawberries.
Brandy and Soda,Collins Glass,14 to 16 ounces,Pour brandy into collins glass with ice cubes. Fill with club soda.
Brandy Milk Punch,Collins Glass,14 to 16 ounces,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Vodka Collins,Collins Glass,14 to 16 ounces,"Shake vodka, lemon juice, and syrup and strain into ice-filled Collins glass. Fill with soda water and stir. Garnish with citrus and cherry. Serve with a straw."
Brandy Crusta Cocktail,Cocktail Glass,6 or more ounces,Moisten the edge of a cocktail glass with lemon and dip into sugar. Cut the rind of half a lemon into a spiral and place in glass. Stir above ingredients with ice and strain into sugar-rimmed glass. Add a slice of orange.
Heather Blush,Champagne Flute,6 to 8 ounces,Pour Scotch and liqueur into chilled champagne flute. Top with sparkling wine. Garnish with strawberry.
Jack Maples,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Garnish with cinnamon stick.
Brandy Alexander,Cocktail Glass,6 or more ounces,Shake well with cracked ice and strain into cocktail glass.
Vodka and Tonic,Highball Glass,7 to 10 ounces,Pour vodka into highball glass over ice. Add tonic and stir. Garnish with lemon or lime wedge. VODKA COLLINS
Apricot Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Alexander Cocktail No. 2,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.
After Dinner Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Leave lime in glass.
Harvest Moon,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add orange twist.
Red Raider,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Vodka and Apple Juice,Highball Glass,7 to 10 ounces,Pour vodka into ice-filled highball glass. Fill with apple juice and stir.
Mint Julep (Southern Style),Collins Glass,14 to 16 ounces,"In silver mug or collins glass, dissolve powdered sugar with water. Fill with finely shaved ice and add bourbon. Stir until glass is heavily frosted, adding more ice if necessary. (Do not hold glass with hand while stirring.) Decorate with sprigs of fresh mint so that the tops are about two inches above the rim of glass. Use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste."
Limestone,Highball Glass,7 to 10 ounces,"Into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste."
Grounds For Divorce,Cocktail Glass,6 or more ounces,Stir and strain into chilled cocktail glass. Add orange twist.
Gentleman's Cocktail,Highball Glass,7 to 10 ounces,"Pour bourbon, brandy, and creme de menthe over ice into highball glass. Add club soda and garnish with a lemon twist."
Dixie Julep,Collins Glass,14 to 16 ounces,Put sugar and bourbon into collins glass. Fill with crushed ice and stir gently until glass is frosted. Decorate with sprigs of mint. Serve with straws.
Victory Collins,Collins Glass,14 to 16 ounces,Shake with ice and strain into ice-filled Collins glass. Garnish with orange.
Buddy's Favorite,Highball Glass,7 to 10 ounces,Pour ingredients into highball glass. Stir and serve without ice.
Bourbon On The Rocks,Old-Fashioned Glass,6 to 8 ounces,Pour bourbon into old-fashioned glass half-filled with ice.
Bourbon Cobbler,Old-Fashioned Glass,6 to 8 ounces,"Combine all ingredients in mixing glass, pour over ice into old-fashioned glass. Decorate with peach slice."
Bourbon and Water,Old-Fashioned Glass,6 to 8 ounces,"Pour bourbon and water into old-fashioned glass. Add ice and a twist of lemon peel, if desired, and stir."
Greenpoint,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Yellowjacket,Old-Fashioned Glass,6 to 8 ounces,Shake with old-fashioned glass filled with ice cubes. Garnish with a lemon slice.
Velvet Peach Hammer,Old-Fashioned Glass,6 to 8 ounces,Pour vodka and schnapps into ice-filled old-fashioned glass. Stir and top with syrup and lemon juice. Garnish with peach.
Grandfather,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Goldrush,Old-Fashioned Glass,6 to 8 ounces,Shake and strain into ice-filled old-fashioned glass.
Sake Martini,Cocktail Glass,6 or more ounces,"Stir with ice, strain into 3-or 4-oz. cocktail glass and serve with an olive."
Godfather,Old-Fashioned Glass,6 to 8 ounces,Pour into ice-filled old-fashioned glass and stir.
Jack-In-The-Box,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Saronno,Cocktail Glass,6 or more ounces,Shake well with cracked ice. Strain and serve in cocktail glass.
Saronno Colada (Nutty Colada),Collins Glass,14 to 16 ounces,Put in an electric blender with 2 cups of crushed ice and blend at high speed for a short time. Pour into a collins glass and serve with a straw.
Saronno Mist,Old-Fashioned Glass,6 to 8 ounces,"Serve in an old-fashioned glass over crushed ice with a twist of lemon or a wedge of lime, if desired."
Saronno Rose,Collins Glass,14 to 16 ounces,Pour Amaretto di Saronno and lime juice over ice in a collins glass and fill with club soda.
Gilchrist,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Frisco Sour,Cordial or Pony Glass,2 to 3 ounces,Shake with ice and strain into chilled sour glass. Garnish with lemon and lime.
Fratelli Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Francis The Mule,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Fox River Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Flying Scotchman,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
The Final Ward,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Martini ,Cocktail Glass,6 or more ounces,serve with an olive. 
Fancy Whiskey,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Mandarine Sour,Sour Glass,5 to 6 ounces,Shake with ice and strain into a sour glass. Decorate with a cherry and orange slice.
Mandarine Mist,Old-Fashioned Glass,6 to 8 ounces,Pack an old-fashioned glass with finely crushed ice. Add Mandarine Napoleon Liqueur and a twist of tangerine peel. Serve with short straws.
Underneath The Mango Tree,Collins Glass,14 to 16 ounces,Rim Collins glass with lime and sweet chili powder. Fill glass with ice. Shake next four ingredients with ice. Strain into glass. Top with ginger ale.
Fancy-Free Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Honeymoon Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Twister,Collins Glass,14 to 16 ounces,Pour vodka and lime juice into Collins glass. Add several ice cubes. Squeeze lime into glass and add. Fill with lemon-lime soda and stir.
Everybody's Irish Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with olive.
Trident,Cocktail Glass,6 or more ounces,Stir and strain into cocktail glass. Garnish with lemon twist.
Top Banana,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass.
Emperor Norton's Mistress,Old-Fashioned Glass,6 to 8 ounces,Muddle halved strawberries in mixing glass. Add remaining ingredients. Shake with ice and double-strain into ice-filled oldfashioned glass. Garnish with strawberry slice.
Easterner,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
Toasted Drop,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lemon and cinnamon sugar. Shake ingredients without ice. Add ice and shake again. Strain into glass. Add lemon twist.
Eastern Sour,Highball Glass,7 to 10 ounces,Shake with ice and strain into ice-filled highball glass. Garnish with orange and lime.
K. C. B. Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Easter Elchies,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with brandied cherry.
Dufftown Flip,Brandy Snifter,8 to 12 ounces,Shake without ice. Then shake with ice and strain into snifter. Top with nutmeg.
Harvard Cooler,Collins Glass,14 to 16 ounces,Stir brandy and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.
The Duboudreau Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Irish Whisky ,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with an olive.
Dubliner,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.
Double Standard Sour,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.
Dixie Whiskey Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Hill Billy Highball,Highball Glass,7 to 10 ounces,"Pour into highball glass over ice cubes, add a twist of lemon peel, and stir."
The Titian,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with raspberry.
Tiger Tanaka,Cocktail Glass,6 or more ounces,Muddle cilantro and ginger in mixing glass. Add remaining ingredients and shake. Double-strain into chilled cocktail glass.
Grenadine Rickey,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes and fill with carbonated water. Stir. Put a slice of lime in glass.
Thyme Collins,Collins Glass,14 to 16 ounces,"Put first four ingredients in mixing glass, add ice, and shake well. Strain into ice-filled Collins glass. Top with bitter lemon soda and stir briefly. Garnish with long thyme sprigs."
Tabby Cat,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
God Child,Champagne Flute,6 to 8 ounces,Shake well with cracked ice. Strain and serve in a champagne glass.
Sweet Maria,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Dirty Harry,Cocktail Glass,6 or more ounces,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Stir remaining ingredients with ice and strain into glass. Garnish with cherry.
Harvard Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Gin and Milk Punch,Collins Glass,14 to 16 ounces,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Surf Rider,Highball Glass,7 to 10 ounces,Shake with ice and strain into ice-filled highball glass. Garnish with orange and cherry.
Dinah Cocktail,Cocktail Glass,6 or more ounces,Shake well with ice and strain into chilled cocktail glass. Garnish with mint.
Tea Saronno,Stem Glass,,"Pour hot tea into a stemmed glass, using a spoon in glass to prevent cracking. Add Amaretto di Saronno but do not stir. Top with chilled whipped cream."
The Summer Of Love,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Devil's Soul,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Flame orange twist and add to glass.
Deshler,Champagne Flute,6 to 8 ounces,Stir with ice and strain into chilled champagne flute. Add lemon twist.
T.N.T. No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Stupid Cupid,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with cherry.
Derby,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
