name,glass,glass-size,instructions
L.A. Sunrise,Hurricane Glass,14 to 20 ounces,Shake first four ingredients with ice. Strain into ice-filled hurricane or parfait glass. Float rum on top. Garnish with lime and cherry.
White Rose Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
White Plush,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass.
White Elephant,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Whiskey Toddy (cold),Mug,,"Stir sugar and water in a mug. Add ice cubes and whiskey, and stir. Add a twist of lemon peel."
Kretchma Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Whiskey Skin,Punch Cup,3 to 4 ounces,"Put lump of sugar into hot punch cup and fill two-thirds with boiling water. Add 2 oz. Blended Whiskey. Stir, then add a twist of lemon peel."
Whiskey Milk Punch,Collins Glass,14 to 16 ounces,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Katana,Cocktail Glass,6 or more ounces,Muddle 3 cucumber slices in mixing glass. Add remaining ingredients. Shake with ice. Double-strain into chilled cocktail glass. Garnish with cucumber slice.
Ethel Duffy Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Daiquiri,Cocktail Glass,6 or more ounces,Shake with ice and strain into a chilled cocktail glass.
Wembley Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Weep-No-More Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Jungle Juice,Collins Glass,14 to 16 ounces,Shake with ice and pour with ice into ice-filled Collins glass. Garnish with orange and cherry.
Wedding Belle Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Waterloo,Old-Fashioned Glass,6 to 8 ounces,Pour rum and orange juice over ice in an old-fashioned glass. Stir. Float Mandarine Napoleon on top.
Waterbury Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Washington Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
The Jamaican Ten Speed,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Twin Six Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Jackie-O,Cocktail Glass,6 or more ounces,Rim chilled large cocktail glass with lime wedge and pink sugar. Shake first six ingredients with ice and strain into glass. Top with Champagne. Garnish with orange and lime.
Tropical Heart,Irish Coffee Glass,8 to 9 ounces,Pour ingredients into Irish coffee cup and stir. Garnish with a cinnamon stick.
Trois Rivieres,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes. Add a twist of orange peel.
Tovarich Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Italian Screwdriver,Hurricane Glass,14 to 20 ounces,Rim hurricane glass with lime wedge and sugar; fill with ice. Shake remaining ingredients with ice. Strain into glass. Garnish with lime.
T.N.T. Cocktail No. 2,Old-Fashioned Glass,6 to 8 ounces,Mix with ice in an old-fashioned glass.
T.N.T. Cocktail No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Ibiza,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
Thunder,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Huntsman Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Tequila Fizz,Collins Glass,14 to 16 ounces,Shake well with ice and strain into collins glass over ice cubes. Fill with ginger ale and stir.
Humpty Dumpty,Cocktail Glass,6 or more ounces,Shake without ice. Shake with ice and strain into chilled cocktail glass.
Tequila Cocktail,Cocktail Glass,6 or more ounces,Shake ingredients with crushed ice and strain into a cocktail glass. Garnish with a lemon slice.
Temptation Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add twists of lemon and orange peel.
Tchoupitolas Street Guzzle,Highball Glass,7 to 10 ounces,Pour rum into highball glass over ice cubes. Add ginger beer.
Tahitian Tea,Highball Glass,7 to 10 ounces,"In a highball glass, mix 1/2 oz. each of Gin, Light Rum, Vodka, and Hot Shot Tropical Fruit Liqueur. Add 1 oz. each of 7-Up, cranberry juice, and orange juice. Stir."
Limey ,Champagne Flute,6 to 8 ounces,Combine ingredients and a half-cup of crushed ice in an electric blender. Blend at low speed and pour into champagne flute. Add a twist of lime peel.
Headless Horseman,Collins Glass,14 to 16 ounces,"Pour vodka and bitters into Collins glass. Add ice, fill with ginger ale, and stir. Garnish with orange."
Love Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Los Angeles Cocktail,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass.
Long Island Tea,Highball Glass,7 to 10 ounces,Combine ingredients and pour over ice in tall glass. Add a dash of cola for color. Garnish with slice of lemon.
Harvey Wallbanger,Collins Glass,14 to 16 ounces,Stir vodka and orange juice in Collins glass. Add ice and stir again. Float Galliano on top.
Lime Giant,Collins Glass,14 to 16 ounces,Put ice cubes in collins glass and add lime vodka. Fill with lemon and lime soda. Decorate with a slice of lime.
Lil Naue,Red-Wine Glass,12 to 24 ounces,Shake with ice and strain into wine glass. Sprinkle cinnamon on top.
Harrington,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add orange zest.
El Profesor,Old-Fashioned Glass,6 to 8 ounces,Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.
Leap Year Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Lasky Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Lady Love Fizz,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass over two ice cubes. Fill with carbonated water and stir.
Handball Cooler,Highball Glass,7 to 10 ounces,Pour vodka into ice-filled highball glass. Fill almost to top with soda water. Top with orange juice and stir. Add lime.
Hyatt's Jamaican Banana,Brandy Snifter,8 to 12 ounces,"Blend, then garnish with 2 slices banana, strawberry, and nutmeg, and serve in a large brandy snifter."
H.P.W. Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of orange peel.
Hot Shot Margarita,Cocktail Glass,6 or more ounces,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass."
The Groupie,Old-Fashioned Glass,6 to 8 ounces,Muddle lemons and sugar in mixing glass. Add vodka and ice and shake. Strain into ice-filled old-fashioned glass and top with ginger beer.
Hot Brandy Flip,Mug,,"Beat egg, sugar, and brandy; pour into mug and fill with hot milk. Stir. Sprinkle nutmeg on top."
Grape Nehi,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Hole-in-One Cocktai,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Grapefruit Gimlet Royale,Cocktail Glass,6 or more ounces,Shake first four ingredients with ice and strain into chilled cocktail glass. Top with Champagne.
Hair Raiser,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Godmother,Old-Fashioned Glass,6 to 8 ounces,Combine in ice-filled old-fashioned glass.
Green Opal,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Green Hornet (Dry),Collins Glass,14 to 16 ounces,"Pour lime vodka over ice cubes in a collins glass. Fill with lemon-lime soda, stir, and add a half-slice of lime."
Green Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.
Godchild,Cocktail Glass,6 or more ounces,Shake well with ice and strain into chilled cocktail glass.
Grape Vodka Froth,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Grapefruit Nog,Collins Glass,14 to 16 ounces,Blend all ingredients with a cup of crushed ice at low speed and pour into collins glass over ice cubes.
Golden Slipper,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Float an unbroken egg yolk on top
Golden Freindship,Collins Glass,14 to 16 ounces,Mix equal parts in a collins glass over ice and fill with ginger ale. Garnish with an orange spiral and a cherry.
Golden Frappe,Collins Glass,14 to 16 ounces,"Stir orange juice, lemon juice, and sugar in collins glass. Add crushed ice and port."
Glass Tower,Collins Glass,14 to 16 ounces,"Pour first five ingredients into Collins glass. Add ice, then fill with lemon-lime soda and stir. Garnish with orange and cherry."
Golden Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass. Fill with carbonated water.
Gloom Lifter,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with ice cubes.
