name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,all_measurements,all_ingredients
Derby,Whiskies,2, Bourbon whiskey,0.25, Benedictine,1, Angostura Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,"['2', 0.25, '1', nan, nan, nan]","[' Bourbon whiskey', ' Benedictine', ' Angostura Bitters', ' Lemon twist', nan, nan]"
Stockholm 75,Vodka,For glass," Lemon wedge, superfine sugar",0.75, Citrus-flavored vodka,0.75, Simple Syrup,0.75, Fresh lemon juice,3, Chilled Champagne,,,"Rim chilled cocktail glass with lemon and sugar. Shake vodka, syrup, and lemon juice with ice. Strain into glass. Fill with Champagne",Cocktail Glass,6 or more ounces,"['For glass', 0.75, 0.75, 0.75, '3', nan]","[' Lemon wedge, superfine sugar', ' Citrus-flavored vodka', ' Simple Syrup', ' Fresh lemon juice', ' Chilled Champagne', nan]"
The Delmarva Cocktail,Whiskies,2, Straight rye whiskey,0.5, Dry Vermouth,0.5, White creme de menthe,0.5, Fresh lemon juice, Fresh mint sprigs,,,,Shake with ice and strain into chilled cocktail glass. Garnish with mint.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.5, 0.5, ' Fresh mint sprigs', nan]","[' Straight rye whiskey', ' Dry Vermouth', ' White creme de menthe', ' Fresh lemon juice', nan, nan]"
Sputnik,Vodka,1.25, Vodka,1.25, Peach schnapps,3, Fresh orange juice,3, half-and-half, Peach slice,,,,Shake with ice until frothy and pour into red-wine glass. Garnish with peach.,Red-Wine Glass,12 to 24 ounces,"[1.25, 1.25, '3', '3', ' Peach slice', nan]","[' Vodka', ' Peach schnapps', ' Fresh orange juice', ' half-and-half', nan, nan]"
Gotham,Brandy,1, Absinthe or pastis,3, Brandy,3, Peach bitters,, Lemon twist,,,,,Pour absinthe into chilled old-fashioned glass and swirl to coat. Shake brandy and bitters with ice and strain into glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces,"['1', '3', '3', nan, nan, nan]","[' Absinthe or pastis', ' Brandy', ' Peach bitters', ' Lemon twist', nan, nan]"
De La Louisiane,Whiskies,0.75, Straight rye whiskey,0.75, Sweet Vermouth,0.75, Benedictine,3, Absinthe or pastis,3, Peychaud's Bitters,, Maraschino cherry,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, '3', '3', nan]","[' Straight rye whiskey', ' Sweet Vermouth', ' Benedictine', ' Absinthe or pastis', "" Peychaud's Bitters"", ' Maraschino cherry']"
The Debonair,Whiskies,2.5, Single-malt Scotch whisky,1, Ginger liqueur,, Lemon twist,,,,,,,Stir and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,"[2.5, '1', nan, nan, nan, nan]","[' Single-malt Scotch whisky', ' Ginger liqueur', ' Lemon twist', nan, nan, nan]"
Soviet,Vodka,1.5, Vodka,0.5, Amontillado sherry,0.5, Dry Vermouth,, Lemon twist,,,,,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, 0.5, 0.5, nan, nan, nan]","[' Vodka', ' Amontillado sherry', ' Dry Vermouth', ' Lemon twist', nan, nan]"
Daisy Dueller,Whiskies,2, Tennessee whiskey,0.75, Fresh lemon juice,0.75, Simple Syrup,0.5, Triple Sec, Soda water,,, Orange and lemon wheels,Shake first four ingredients with ice. Strain into chilled highball glass. Add ice and fill with soda. Garnish with orange and lemon.,Highball Glass,7 to 10 ounces,"['2', 0.75, 0.75, 0.5, ' Soda water', nan]","[' Tennessee whiskey', ' Fresh lemon juice', ' Simple Syrup', ' Triple Sec', nan, ' Orange and lemon wheels']"
Sonic Blaster,Vodka,0.5, Vodka,0.5, Light Rum,0.5, Creme de banana,1, Pineapple Juice,1, Orange juice,1, Cranberry Juice,Shake and pour into ice-filled Collins glass. Garnish with orange and lime.,Collins Glass,14 to 16 ounces,"[0.5, 0.5, 0.5, '1', '1', '1']","[' Vodka', ' Light Rum', ' Creme de banana', ' Pineapple Juice', ' Orange juice', ' Cranberry Juice']"
Creole Lady,Whiskies,1.5, Bourbon whiskey,1.5, Madeira,1, Grenadine,, Maraschino cherry,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, '1', nan, nan, nan]","[' Bourbon whiskey', ' Madeira', ' Grenadine', ' Maraschino cherry', nan, nan]"
Rum Coooler,Cocktail Classics,0.08,powdered sugar,2, carbonated water,1, Mr. Boston Rum,,ginger ale,spirals of lemon and orange peel,,,,"In collins glass, dissolve powdered sugar in carbonated water. Stir. Fill glass with ice and add rum. Fill with carbonated water or ginger ale and stir again. Insert a spiral of orange or lemon peel (or both) and dangle end over rim of glass.",Collins Glass,14 to 16 ounces,"[0.08, '2', '1', nan, 'spirals of lemon and orange peel', nan]","['powdered sugar', ' carbonated water', ' Mr. Boston Rum', 'ginger ale', nan, nan]"
Siberian Sleighride,Vodka,1.25, Vodka,0.75, White creme de cacao,0.5, White creme de menthe,3, half-and-half, Shaved bittersweet chocolate,,,,Shake with ice and strain into chilled snifter. Sprinkle with chocolate shavings.,Brandy Snifter,8 to 12 ounces,"[1.25, 0.75, 0.5, '3', ' Shaved bittersweet chocolate', nan]","[' Vodka', ' White creme de cacao', ' White creme de menthe', ' half-and-half', nan, nan]"
Cotton Club Flip,Whiskies,2, Vanilla-Infused Bourbon,0.5, Honey-Currant Syrup,0.75, Fresh Lime Juice,1, Egg White,2, Rhubarb bitters,, Stick of cotton candy,Shake first four ingredients without ice. Add ice and shake again. Strain into ice-filled old-fashioned glass. Top with bitters. Garnish with cotton candy.,Old-Fashioned Glass,6 to 8 ounces,"['2', 0.5, 0.75, '1', '2', nan]","[' Vanilla-Infused Bourbon', ' Honey-Currant Syrup', ' Fresh Lime Juice', ' Egg White', ' Rhubarb bitters', ' Stick of cotton candy']"
Golden Dawn,Brandy,1, Apple Brandy,0.5, Apricot-Flavored Brandy,0.5, Gin,1, Fresh orange juice,1, Grenadine,,,Shake first four ingredients with ice and strain into ice-filled oldfashioned glass. Add grenadine.,Old-Fashioned Glass,6 to 8 ounces,"['1', 0.5, 0.5, '1', '1', nan]","[' Apple Brandy', ' Apricot-Flavored Brandy', ' Gin', ' Fresh orange juice', ' Grenadine', nan]"
Sidecar,Cocktail Classics,1, Cognac,1, Triple Sec,0.5, Fresh lemon juice,1.5, Vodka,1, Madeira,0.5, Fresh orange juice and orange wheel,Shake with ice and strain into a chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', 0.5, 1.5, '1', 0.5]","[' Cognac', ' Triple Sec', ' Fresh lemon juice', ' Vodka', ' Madeira', ' Fresh orange juice and orange wheel']"
Shalom,Vodka,1.5, Vodka,1, Madeira,0.5, Fresh orange juice and orange wheel,2, Bourbon Whiskey,0.75, White creme de cacao,0.5, Fresh lemon juice,Shake with ice and strain into ice-filled old-fashioned glass. Add orange wheel.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, '1', 0.5, '2', 0.75, 0.5]","[' Vodka', ' Madeira', ' Fresh orange juice and orange wheel', ' Bourbon Whiskey', ' White creme de cacao', ' Fresh lemon juice']"
Commodore Cocktail,Whiskies,2, Bourbon Whiskey,0.75, White creme de cacao,0.5, Fresh lemon juice,1, Grenadine,,,,,Shake with ice and strain into chilled champagne flute.,Champagne Flute,6 to 8 ounces,"['2', 0.75, 0.5, '1', nan, nan]","[' Bourbon Whiskey', ' White creme de cacao', ' Fresh lemon juice', ' Grenadine', nan, nan]"
Sea Breeze,Vodka,1.5, Vodka,4, Cranberry Juice,1, Fresh grapefruit juice,, Lime wedge,,,,,Pour into ice-filled highball glass. Garnish with lime.,Highball Glass,7 to 10 ounces,"[1.5, '4', '1', nan, nan, nan]","[' Vodka', ' Cranberry Juice', ' Fresh grapefruit juice', ' Lime wedge', nan, nan]"
Screwdriver,Vodka,1.5, Vodka,5, Orange juice,,,,,,,,,Pour into ice-filled highball glass. Stir well.,Highball Glass,7 to 10 ounces,"[1.5, '5', nan, nan, nan, nan]","[' Vodka', ' Orange juice', nan, nan, nan, nan]"
Coffee Old-Fashioned,Whiskies,2, Bourbon whiskey,0.75, Simple Syrup,2, Angostura Bitters,1, Cold brewed coffee,2, Soda water,," Orange wheel, maraschino cherry","Pour bourbon, syrup, bitters, and coffee into ice-filled old-fashioned glass and stir. Add soda water and stir again. Garnish with orange and cherry.",Old-Fashioned Glass,6 to 8 ounces,"['2', 0.75, '2', '1', '2', nan]","[' Bourbon whiskey', ' Simple Syrup', ' Angostura Bitters', ' Cold brewed coffee', ' Soda water', ' Orange wheel, maraschino cherry']"
Dry Martini,Cocktail Classics,1.67, Mr. Boston Gin,0.33, Dry Vermouth,,,,,,,,,serve with an olive. ,,,"[1.67, 0.33, nan, nan, nan, nan]","[' Mr. Boston Gin', ' Dry Vermouth', nan, nan, nan, nan]"
Salty Dog,Vodka,For glass," Lemon wedge, coarse salt",1.5, Vodka,5, Grapefruit Juice,,,,,,,Rim highball glass with lemon and salt. Fill with ice. Add vodka and grapefruit juice and stir.,Highball Glass,7 to 10 ounces,"['For glass', 1.5, '5', nan, nan, nan]","[' Lemon wedge, coarse salt', ' Vodka', ' Grapefruit Juice', nan, nan, nan]"
Dr. Cook,Cocktail Classics,0.75, Mr. Boston Gin,1, Lemon Juice,1, Maraschino,1, Egg White,,,,,Shake with ice and strain into wine glass.,Red-Wine Glass,12 to 24 ounces,"[0.75, '1', '1', '1', nan, nan]","[' Mr. Boston Gin', ' Lemon Juice', ' Maraschino', ' Egg White', nan, nan]"
Dillatini Cocktail,Cocktail Classics,1.5, Mr. Boston Gin,0.75, Dry Vermouth,,,,,,,,,Serve with a dilly bean.,,,"[1.5, 0.75, nan, nan, nan, nan]","[' Mr. Boston Gin', ' Dry Vermouth', nan, nan, nan, nan]"
Chi-Town Flip,Whiskies,2, Bourbon whiskey,0.75, Tawny port,0.75, Fresh lemon juice,0.75, Vanilla liqueur and 3 oz,0.25, Simple Syrup,1, Whole Egg and grated nutmet,Shake first six ingredients without ice. Add ice and shake again. Strain into ice-filled Collins glass. Add bitters and top with nutmeg.,Collins Glass,14 to 16 ounces,"['2', 0.75, 0.75, 0.75, 0.25, '1']","[' Bourbon whiskey', ' Tawny port', ' Fresh lemon juice', ' Vanilla liqueur and 3 oz', ' Simple Syrup', ' Whole Egg and grated nutmet']"
Chef's Pain,Vodka,2, Bourbon whiskey,0.75, Fresh Lime Juice,0.5, Blackberry liqueur,0.5, B & B,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['2', 0.75, 0.5, 0.5, nan, nan]","[' Bourbon whiskey', ' Fresh Lime Juice', ' Blackberry liqueur', ' B & B', nan, nan]"
Sampan Shipwreck A,Vodka,1.5, Vodka,0.5, Orange liqueur,0.5, Canned coconut milk,0.5, Cold brewed chai tea,0.5, orgeat or almond syrup,, Pineapple wedge,Shake well with ice. Double-strain into chilled cocktail glass. Perch pineapple on rim of glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, 0.5, 0.5, nan]","[' Vodka', ' Orange liqueur', ' Canned coconut milk', ' Cold brewed chai tea', ' orgeat or almond syrup', ' Pineapple wedge']"
Chas,Whiskies,1.5, Bourbon whiskey,0.25, Amaretto,0.25, Benedictine,0.25, Triple Sec,0.25, Orange curacao,, Orange twist,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces,"[1.5, 0.25, 0.25, 0.25, 0.25, nan]","[' Bourbon whiskey', ' Amaretto', ' Benedictine', ' Triple Sec', ' Orange curacao', ' Orange twist']"
Goat's Delight,Brandy,1, Brandy,1.5, Kirschwasser,0.25, half-and-half,1, orgeat or almond syrup,1, Absinthe or pastis,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 1.5, 0.25, '1', '1', nan]","[' Brandy', ' Kirschwasser', ' half-and-half', ' orgeat or almond syrup', ' Absinthe or pastis', nan]"
Russian Bear Cocktail,Vodka,1, Vodka,0.5, White creme de cacao,0.5, half-and-half,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, nan, nan, nan]","[' Vodka', ' White creme de cacao', ' half-and-half', nan, nan, nan]"
Character Development,Whiskies,2, Scotch Whiskey,0.5, Coconut liqueur,0.5, Dry Sherry,2, Grapefruit bitters, Grapefruit twist,,,,Stir with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.5, '2', ' Grapefruit twist', nan]","[' Scotch Whiskey', ' Coconut liqueur', ' Dry Sherry', ' Grapefruit bitters', nan, nan]"
Ruby Red,Vodka,2, Grapefruit-flavored vodka,1.5, Triple Sec,1.5, Fresh ruby red grapefruit juice,1, Fresh orange juice, Grapefruit twist,,,,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces,"['2', 1.5, 1.5, '1', ' Grapefruit twist', nan]","[' Grapefruit-flavored vodka', ' Triple Sec', ' Fresh ruby red grapefruit juice', ' Fresh orange juice', nan, nan]"
Chaplin,Whiskies,0.75, Bourbon whiskey,0.75, Dry Sherry,0.75, Ramazzotti Amaro,1, Triple Sec,2, Orange Bitters,, Lemon twist,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, '1', '2', nan]","[' Bourbon whiskey', ' Dry Sherry', ' Ramazzotti Amaro', ' Triple Sec', ' Orange Bitters', ' Lemon twist']"
Rouxby Red,Vodka,For glass,"For glass Lemon wedge, coarse salt",1.5, Grapefruit-flavored vodka,0.25, Fresh lemon juice,0.75, Grapefruit Juice,0.5, Campari,0.5, Simple Syrup,Rim chilled cocktail glass with lemon and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces,"['For glass', 1.5, 0.25, 0.75, 0.5, 0.5]","['For glass Lemon wedge, coarse salt', ' Grapefruit-flavored vodka', ' Fresh lemon juice', ' Grapefruit Juice', ' Campari', ' Simple Syrup']"
Rosemary Clementine Sparkle,Vodka,0.25, Clementine or mandarin orange,1.5, Vodka,0.75, Fresh lemon juice,0.75, Honey Syrup,1, Fresh rosemary sprig,1, Chilled sparkling wine or Champagne,"Squeeze clementine into mixing glass. Twist rind and add to glass. Add vodka, lemon juice, syrup, and rosemary sprig. Add ice and shake. Strain into chilled cocktail glass. Top with sparkling wine or Champagne. Garnish with remaining rosemary sprig.",Cocktail Glass,6 or more ounces,"[0.25, 1.5, 0.75, 0.75, '1', '1']","[' Clementine or mandarin orange', ' Vodka', ' Fresh lemon juice', ' Honey Syrup', ' Fresh rosemary sprig', ' Chilled sparkling wine or Champagne']"
Chapel Hill,Whiskies,2, Bourbon whiskey,0.5, Triple Sec,0.5, Fresh lemon juice,, Orange twist,,,,,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.5, nan, nan, nan]","[' Bourbon whiskey', ' Triple Sec', ' Fresh lemon juice', ' Orange twist', nan, nan]"
Robin's Nest,Vodka,1, Vodka,1, Cranberry Juice,0.5, White creme de cacao,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', 0.5, nan, nan, nan]","[' Vodka', ' Cranberry Juice', ' White creme de cacao', nan, nan, nan]"
Chancellor Cocktail,Whiskies,1.5, Blended Scotch Whiskey,0.5, Dry Vermouth,0.5, Tawny port,1, Peychaud's Bitters, Lemon twist,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, '1', ' Lemon twist', nan]","[' Blended Scotch Whiskey', ' Dry Vermouth', ' Tawny port', "" Peychaud's Bitters"", nan, nan]"
Cafe di Saronno,Cocktail Classics,1, Amaretto di Saronno,, Hot Black Coffee,,,,,,,,,Add 1 oz. Amaretto di Saronno to a cup of black coffee. Top with whipped cream.,Mug,,"['1', nan, nan, nan, nan, nan]","[' Amaretto di Saronno', ' Hot Black Coffee', nan, nan, nan, nan]"
Carre Reprise,Whiskies,1, Straight rye whiskey,1, Cognac,1, Sweet Vermouth,0.5, Elderflower liqueur,1, Angostura Bitters,1, Peychaud's Bitters,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces,"['1', '1', '1', 0.5, '1', '1']","[' Straight rye whiskey', ' Cognac', ' Sweet Vermouth', ' Elderflower liqueur', ' Angostura Bitters', "" Peychaud's Bitters""]"
Gilroy Cocktail,Brandy,0.75, cherry-flavored brandy,0.75, Gin,0.5, Dry Vermouth,0.5, Fresh lemon juice,1, Orange Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.5, 0.5, '1', nan]","[' cherry-flavored brandy', ' Gin', ' Dry Vermouth', ' Fresh lemon juice', ' Orange Bitters', nan]"
Redhead Martini,Vodka,4," Strawberries, cut into halves",0.75, Fresh lemon juice,0.75, Simple Syrup,1.5, Citrus-flavored vodka,1, Chilled Moscato d'Asti or sweet sparkling wine,, Strawberry,Muddle halved strawberries in mixing glass with lemon juice and syrup. Add vodka and ice and shake well. Strain into chilled cocktail glass. Add sparkling wine. Garnish with the strawberry.,Cocktail Glass,6 or more ounces,"['4', 0.75, 0.75, 1.5, '1', nan]","[' Strawberries, cut into halves', ' Fresh lemon juice', ' Simple Syrup', ' Citrus-flavored vodka', "" Chilled Moscato d'Asti or sweet sparkling wine"", ' Strawberry']"
Red Apple,Vodka,1.5, Vodka,1, Apple juice,0.5, Fresh lemon juice,1, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', 0.5, '1', nan, nan]","[' Vodka', ' Apple juice', ' Fresh lemon juice', ' Grenadine', nan, nan]"
Canal Street Daisy,Whiskies,1, Blended Scotch Whiskey,1, Orange juice,0.75, Fresh lemon juice,1, Soda water,1, Orange wheel,,,Add Scotch and juices to ice-filled Collins glass and stir. Fill with soda water and stir again. Garnish with orange.,Collins Glass,14 to 16 ounces,"['1', '1', 0.75, '1', '1', nan]","[' Blended Scotch Whiskey', ' Orange juice', ' Fresh lemon juice', ' Soda water', ' Orange wheel', nan]"
Canadian Cocktail,Whiskies,1.5, Canadian whisky,0.5, Triple Sec,0.5, Simple Syrup,1, Angostura Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, '1', nan, nan]","[' Canadian whisky', ' Triple Sec', ' Simple Syrup', ' Angostura Bitters', nan, nan]"
Purple Ruby,Vodka,1.5, Vodka,1.5, Pomegranate juice,0.5, Grapefruit Juice,0.25, Fresh Lime Juice,0.25, Honey Syrup,, Grapefruit twist,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, 0.5, 0.25, 0.25, nan]","[' Vodka', ' Pomegranate juice', ' Grapefruit Juice', ' Fresh Lime Juice', ' Honey Syrup', ' Grapefruit twist']"
Canadian Cherry,Whiskies,1, Maraschino liqueur,1.5, Canadian whisky,0.5, Maraschino liqueur,0.5, Fresh lemon juice,0.5, Orange juice,,,Moisten rim of old-fashioned glass with maraschino liqueur. Fill with ice. Shake ingredients with ice and strain into glass.,Old-Fashioned Glass,6 to 8 ounces,"['1', 1.5, 0.5, 0.5, 0.5, nan]","[' Maraschino liqueur', ' Canadian whisky', ' Maraschino liqueur', ' Fresh lemon juice', ' Orange juice', nan]"
Orange Smile,Cocktail Classics,1, Egg,1, Juice of Orange,1, Grenadine,,,,,,,Shake with ice and strain into stem goblet.,Red-Wine Glass,12 to 24 ounces,"['1', '1', '1', nan, nan, nan]","[' Egg', ' Juice of Orange', ' Grenadine', nan, nan, nan]"
Purple Passion Iced Tea,Vodka,0.5, Vodka,0.5, Light Rum,0.5, Gin,0.5, Black raspberry liqueur,0.5, Simple Syrup,0.75, Fresh lemon juice and 3 oz,Pour ingredients into ice-filled highball glass in order listed and stir. Add lemon twist.,Highball Glass,7 to 10 ounces,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.75]","[' Vodka', ' Light Rum', ' Gin', ' Black raspberry liqueur', ' Simple Syrup', ' Fresh lemon juice and 3 oz']"
Canadian Breeze,Whiskies,1.5, Canadian whisky,0.75, Pineapple Juice,0.5, Fresh lemon juice,0.25, Maraschino liqueur,1," Pineapple wedge, maraschino cherry",,,Shake with ice. Strain into ice-filled old-fashioned glass. Garnish with pineapple and cherry.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, 0.75, 0.5, 0.25, '1', nan]","[' Canadian whisky', ' Pineapple Juice', ' Fresh lemon juice', ' Maraschino liqueur', ' Pineapple wedge, maraschino cherry', nan]"
Purple Passion,Vodka,1.5, Vodka,2, Grapefruit Juice,2, Concord grape juice,0.5, Simple Syrup,,,,,Shake with ice. Pour with ice into Collins glass.,Collins Glass,14 to 16 ounces,"[1.5, '2', '2', 0.5, nan, nan]","[' Vodka', ' Grapefruit Juice', ' Concord grape juice', ' Simple Syrup', nan, nan]"
Cameron's Kick Cocktail,Whiskies,0.75, Blended Scotch Whiskey,0.75, Irish Whiskey,0.5, Fresh lemon juice,2, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.5, '2', nan, nan]","[' Blended Scotch Whiskey', ' Irish Whiskey', ' Fresh lemon juice', ' Orange Bitters', nan, nan]"
Georgia Mint Julep,Brandy,2, Mint sprigs,0.25, Simple Syrup,1.5, Brandy,1, Peach-flavored brandy, mint sprigs,,,,Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with additional mint.,Collins Glass,14 to 16 ounces,"['2', 0.25, 1.5, '1', ' mint sprigs', nan]","[' Mint sprigs', ' Simple Syrup', ' Brandy', ' Peach-flavored brandy', nan, nan]"
California Lemonade,Whiskies,2, Bourbon whiskey,1, Fresh lemon juice,1, Fresh Lime Juice,1, Simple Syrup,0.25, Grenadine,1," Soda water, Orange and lemon wheels, maraschino cherry","Shake first five ingredients with ice. Strain into shaved ice-filled Collins glass. Fill with soda water and garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces,"['2', '1', '1', '1', 0.25, '1']","[' Bourbon whiskey', ' Fresh lemon juice', ' Fresh Lime Juice', ' Simple Syrup', ' Grenadine', ' Soda water, Orange and lemon wheels, maraschino cherry']"
Boston Side Car ,Cocktail Classics,0.75, Mr. Boston Five Star Brandy,0.75, Mr. Boston Rum,0.75, Mr. Boston Triple Sec,0.5, Juice of a Lime,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, 0.5, nan, nan]","[' Mr. Boston Five Star Brandy', ' Mr. Boston Rum', ' Mr. Boston Triple Sec', ' Juice of a Lime', nan, nan]"
Cablegram,Whiskies,2, Bourbon whiskey,1, Fresh lemon juice,0.5, Simple Syrup,1, Ginger ale,,,,,Stir first three ingredients in ice-filled highball glass. Fill with ginger ale.,Highball Glass,7 to 10 ounces,"['2', '1', 0.5, '1', nan, nan]","[' Bourbon whiskey', ' Fresh lemon juice', ' Simple Syrup', ' Ginger ale', nan, nan]"
Bull And Bear,Whiskies,1.5, Bourbon whiskey,0.75, Orange curacao,1, Fresh lemon juice,0.25, Grenadine," maraschino cherry, orange half-wheel",,,,Shake with ice and strain into chilled cocktail glass. Garnish with cherry and orange.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, '1', 0.25, ' maraschino cherry, orange half-wheel', nan]","[' Bourbon whiskey', ' Orange curacao', ' Fresh lemon juice', ' Grenadine', nan, nan]"
Brooklyn,Whiskies,1.5, Rye or bourbon whiskey,0.5, Sweet Vermouth,1, Amer Picon or Torani Amer,1, Maraschino liqueur,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, '1', '1', nan, nan]","[' Rye or bourbon whiskey', ' Sweet Vermouth', ' Amer Picon or Torani Amer', ' Maraschino liqueur', nan, nan]"
Brighton Punch,Whiskies,0.75, Bourbon whiskey,0.75, Brandy,0.75, Benedictine,2, Orange juice,1, Fresh lemon juice,," Soda water, orange and lemon wheels",Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with orange and lemon and serve with a straw.,Collins Glass,14 to 16 ounces,"[0.75, 0.75, 0.75, '2', '1', nan]","[' Bourbon whiskey', ' Brandy', ' Benedictine', ' Orange juice', ' Fresh lemon juice', ' Soda water, orange and lemon wheels']"
Bourbon Renewal,Whiskies,2, Bourbon whiskey,1, Fresh lemon juice,0.5, Creme de Cassis,0.5, Simple Syrup,1, Angostura Bitters,,,Shake with ice. Strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,"['2', '1', 0.5, 0.5, '1', nan]","[' Bourbon whiskey', ' Fresh lemon juice', ' Creme de Cassis', ' Simple Syrup', ' Angostura Bitters', nan]"
Bourbon Highball,Whiskies,2, Bourbon whiskey,, Ginger ale or soda water,, Lemon twist,,,,,,,Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Add lemon twist.,Highball Glass,7 to 10 ounces,"['2', nan, nan, nan, nan, nan]","[' Bourbon whiskey', ' Ginger ale or soda water', ' Lemon twist', nan, nan, nan]"
Bourbon And Elder,Whiskies,2, Bourbon whiskey,0.75, Elderflower liqueur,1, Angostura Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces,"['2', 0.75, '1', nan, nan, nan]","[' Bourbon whiskey', ' Elderflower liqueur', ' Angostura Bitters', ' Lemon twist', nan, nan]"
Bourbon Crusta,Whiskies,For glass," Lemon wedge, superfine sugar,  Long, wide spiral of orange zest",2, Bourbon whiskey,0.5, Triple Sec,1, Maraschino liqueur,1, Fresh lemon juice,2, Orange Bitters,Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces,"['For glass', '2', 0.5, '1', '1', '2']","[' Lemon wedge, superfine sugar,  Long, wide spiral of orange zest', ' Bourbon whiskey', ' Triple Sec', ' Maraschino liqueur', ' Fresh lemon juice', ' Orange Bitters']"
Bourbon Cooler,Whiskies,2.5, Bourbon whiskey,0.5, Fresh lemon juice,0.5, Grapefruit Juice,0.5, Orgeat Syrup, Peach slice,,,,Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with peach.,Old-Fashioned Glass,6 to 8 ounces,"[2.5, 0.5, 0.5, 0.5, ' Peach slice', nan]","[' Bourbon whiskey', ' Fresh lemon juice', ' Grapefruit Juice', ' Orgeat Syrup', nan, nan]"
Froupe Cocktail,Brandy,1.5, Brandy,1.5, Sweet Vermouth,1, Benedictine,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, '1', nan, nan, nan]","[' Brandy', ' Sweet Vermouth', ' Benedictine', nan, nan, nan]"
